fromNode,toNode,Confidence,InteractionType,Genes
xcb01120,xcb00010,32,Interact,"XC_0098; XC_0104; XC_0441; XC_0443; XC_0444; XC_0588; XC_0686; XC_0775; XC_0872; XC_0972; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2445; XC_2465; XC_2531; XC_2751; XC_3050; XC_3287; XC_3421; XC_3488; XC_3608; XC_3689; XC_3691; XC_3941; XC_4149; XC_4244"
xcb01120,xcb00030,23,Interact,"XC_0098; XC_0122; XC_0162; XC_0469; XC_0553; XC_0725; XC_0872; XC_0899; XC_0929; XC_0979; XC_1568; XC_1973; XC_1974; XC_1975; XC_1977; XC_2465; XC_3358; XC_3400; XC_3608; XC_3941; XC_4082; XC_4170; XC_4205"
xcb01120,xcb00051,15,Interact,"XC_0098; XC_0150; XC_0162; XC_0872; XC_0979; XC_1587; XC_1742; XC_1744; XC_3608; XC_3941; XC_4155; XC_4156; XC_4157; XC_4158; XC_4159"
xcb01120,xcb00620,28,Interact,"XC_0104; XC_0204; XC_0247; XC_0441; XC_0443; XC_0444; XC_0527; XC_0529; XC_0550; XC_0588; XC_0821; XC_0978; XC_1578; XC_1952; XC_2445; XC_2742; XC_2751; XC_2822; XC_2881; XC_2943; XC_3307; XC_3368; XC_3421; XC_3479; XC_3526; XC_3689; XC_3691; XC_4149"
xcb01120,xcb00053,7,Interact,"XC_0150; XC_0553; XC_1306; XC_2445; XC_3421; XC_4155; XC_4205"
xcb01120,xcb01220,15,Interact,"XC_0154; XC_0366; XC_0368; XC_0379; XC_0380; XC_0381; XC_0382; XC_0383; XC_0553; XC_0686; XC_0775; XC_0953; XC_1342; XC_1702; XC_4205"
xcb01120,xcb00362,19,Interact,"XC_0154; XC_0204; XC_0368; XC_0378; XC_0379; XC_0380; XC_0381; XC_0382; XC_0383; XC_2205; XC_2206; XC_2809; XC_2943; XC_2975; XC_3426; XC_3427; XC_4119; XC_4120; XC_4121"
xcb01120,xcb00622,2,Interact,"XC_0154; XC_0366"
xcb01120,xcb00360,3,Interact,"XC_0154; XC_1342; XC_3311"
xcb01120,xcb02020,9,Interact,"XC_0194; XC_0204; XC_1519; XC_1768; XC_1770; XC_2564; XC_2943; XC_4131; XC_4326"
xcb01120,xcb00220,4,Interact,"XC_0194; XC_0882; XC_1768; XC_1770"
xcb01120,xcb00630,19,Interact,"XC_0194; XC_0204; XC_0247; XC_0248; XC_0809; XC_0944; XC_1452; XC_1768; XC_1770; XC_1821; XC_1973; XC_2326; XC_2329; XC_2751; XC_2943; XC_3213; XC_3307; XC_3544; XC_3689"
xcb01120,xcb01212,9,Interact,"XC_0204; XC_0527; XC_0529; XC_1578; XC_2205; XC_2206; XC_2881; XC_2943; XC_2975"
xcb01120,xcb00071,10,Interact,"XC_0204; XC_0686; XC_0775; XC_2205; XC_2206; XC_2445; XC_2809; XC_2943; XC_2975; XC_3421"
xcb01120,xcb00072,2,Interact,"XC_0204; XC_2943"
xcb01120,xcb00280,8,Interact,"XC_0204; XC_2206; XC_2445; XC_2751; XC_2943; XC_2975; XC_3421; XC_3689"
xcb01120,xcb00310,9,Interact,"XC_0204; XC_1780; XC_2445; XC_2749; XC_2750; XC_2809; XC_2943; XC_2975; XC_3421"
xcb01120,xcb00900,2,Interact,"XC_0204; XC_2943"
xcb01120,xcb00380,8,Interact,"XC_0204; XC_2445; XC_2749; XC_2809; XC_2943; XC_2975; XC_3311; XC_3421"
xcb01120,xcb00640,13,Interact,"XC_0204; XC_0527; XC_0529; XC_1063; XC_1064; XC_1578; XC_2326; XC_2751; XC_2881; XC_2943; XC_2975; XC_3689; XC_4149"
xcb01120,xcb00650,14,Interact,"XC_0204; XC_0376; XC_0377; XC_0550; XC_0809; XC_1780; XC_1821; XC_1981; XC_1982; XC_1983; XC_1985; XC_2205; XC_2943; XC_2975"
xcb01120,xcb00361,4,Interact,"XC_0226; XC_0539; XC_0540; XC_1552"
xcb01120,xcb00625,5,Interact,"XC_0226; XC_0686; XC_0775; XC_2445; XC_3421"
xcb01120,xcb00230,15,Interact,"XC_0288; XC_0294; XC_0978; XC_0993; XC_0994; XC_1385; XC_1386; XC_1387; XC_3156; XC_3157; XC_3158; XC_3358; XC_3608; XC_3780; XC_3941"
xcb01120,xcb00627,14,Interact,"XC_0307; XC_0308; XC_0366; XC_0374; XC_0375; XC_1519; XC_3311; XC_3368; XC_3426; XC_3427; XC_3473; XC_4131; XC_4227; XC_4326"
xcb01120,xcb00670,4,Interact,"XC_0326; XC_1933; XC_3496; XC_3544"
xcb01120,xcb00623,4,Interact,"XC_0366; XC_0539; XC_0540; XC_1552"
xcb01120,xcb00643,6,Interact,"XC_0376; XC_0377; XC_0452; XC_3311; XC_3641; XC_3642"
xcb01120,xcb00624,4,Interact,"XC_0379; XC_0380; XC_3426; XC_3427"
xcb01120,xcb00020,25,Interact,"XC_0441; XC_0443; XC_0444; XC_0550; XC_0588; XC_0944; XC_1063; XC_1064; XC_1981; XC_1982; XC_1983; XC_1985; XC_2326; XC_2329; XC_2742; XC_2749; XC_2750; XC_2751; XC_2822; XC_3213; XC_3268; XC_3307; XC_3689; XC_3691; XC_3854"
