ID,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12
Linoleic acid,0.100070089622554,0.0995825155167357,0.0970041751497159,0.0876986812100423,0.0762613665837918,0.071625823270525,0.0691745541244981,0.0955624925792252,0.0629997529309743,0.0882365290168154,0.0949923907015175,0.0567916292936045
Xanthine,0.104203457351614,0.103737508365479,0.0966344708028055,0.0916871368509488,0.0705387191138835,0.0700629915743552,0.0722229729504581,0.0993930246363604,0.0632298555099268,0.0815908523666486,0.0937247743772921,0.0529742361002285
Aminoadipic acid,0.0946092282106615,0.0921312595807127,0.0888990024244276,0.0835059155756451,0.0765537114970687,0.0933880066412032,0.0807427359896309,0.0871538408136326,0.0701099643684016,0.0811347737386536,0.0890635060543829,0.0627080551055796
Uridine,0.0944102886803351,0.0943065453081444,0.0895687570473613,0.0854268577067491,0.0724577271507922,0.0805475950497496,0.0747369753468045,0.0936427450190534,0.0740442622735527,0.0869751387501407,0.089259668006407,0.06462343966091
Anserine,0.0943766563257737,0.094119608297539,0.087195257086904,0.0851345397651352,0.0784222046498501,0.0844478379390412,0.0826512420384259,0.0922995788410703,0.0683888420741029,0.0839543398239338,0.087708908423014,0.0613009847352099
3-(2-Hydroxyphenyl)propanoic acid,0.094059678211075,0.0920655427229874,0.0898954173463812,0.0860971694350965,0.0801330827899848,0.0846028961113944,0.0812873941353088,0.0874163502635673,0.0715330496048795,0.0802377460611551,0.0877892286378767,0.0648824446802932
Jasmonic acid,0.0907725899462209,0.0896456828746699,0.0860302218908357,0.0862565538706027,0.0817484309054342,0.0870172351391708,0.0897686547441419,0.0870989534292548,0.0721385897011314,0.0788036878592381,0.0856968046921343,0.0650225949471653
Ascorbate,0.0914099475347155,0.0887280088610002,0.0864043846130226,0.0867306388762381,0.0842172833024732,0.0879772602456302,0.0866050846392571,0.088566986002159,0.0732920255406864,0.076519124859822,0.0829822536194289,0.0665670019055668
Glutathione,0.103522579616157,0.109984100079551,0.0975100269929418,0.088774412373918,0.0652775957138413,0.0625481751765273,0.0660127110314584,0.1029192412158,0.056040635166734,0.0944187943129057,0.105525253008168,0.0474664753119962
Citrulline,0.0975102083059956,0.0981638305101404,0.0890913317170312,0.0865267294319145,0.0741387070744426,0.0792762532065467,0.0791787328820434,0.0960885877878043,0.0667386547830183,0.0853841523252519,0.0899556008565936,0.0579472111192174
Oxoglutaric acid,0.100723382235261,0.107252470219397,0.0925851053252856,0.0833535262061079,0.0637738710821847,0.069859679924141,0.0680911706787155,0.0997682739172228,0.0573439109058905,0.101726631809087,0.106762458069271,0.0487595196274359
"(9Z,12Z,15Z)-Octadecatrienoic acid",0.10237626210134,0.106245989084749,0.0986334140128132,0.0846769141773685,0.0658653592283056,0.0656310870344159,0.0622766974930369,0.0999672100228843,0.0587180149681679,0.10040172826064,0.104032751053935,0.0511745725623437
Pyridoxamine,0.0988516744123445,0.102768168585785,0.0938760404824619,0.0849799942234115,0.0704011567245727,0.0681187210493678,0.0663972387076647,0.101046573494915,0.0610171471622543,0.100367567136347,0.0978311521976685,0.0543445658232069
Gentisic acid,0.0985032395829078,0.0991824454907713,0.0945779694699885,0.0883090322327674,0.0735370172139257,0.0711507143049708,0.0705014337027162,0.0969114498877475,0.06713288712334,0.0884004823153218,0.0926645478002036,0.0591287808753394
alpha-Ketoisovaleric acid,0.0970414998634241,0.100335174466518,0.0896311235923582,0.084056721541441,0.0687924928974216,0.0767529630713996,0.0738156016012806,0.0965606998693688,0.0657561527098272,0.0949348714297722,0.0955543448970084,0.0567683540601803
N-Acetylaspartylglutamate,0.0987304775765935,0.101687055724239,0.0899367213208586,0.0830553879733742,0.0679238449112069,0.0769811894376684,0.0709389897928693,0.0996980769220232,0.0637781718053062,0.0965987020160292,0.0955452136165838,0.0551261689032473
D-Fructose,0.0969046958426528,0.0959114876986601,0.100342798084648,0.0944516043261924,0.0769206282374284,0.0666086745812949,0.0686376611588331,0.0957080065608654,0.0670339856154985,0.0836790287865735,0.0946051272990697,0.0591963018082827
12-OPDA,0.093336867043441,0.0926806750269398,0.0946008240099786,0.0898481856018691,0.0820871190470211,0.0730903515339288,0.0749612789762111,0.0894741790894776,0.0693954526734379,0.0842376487856303,0.0921063691531906,0.064181049058874
cis-Aconitic acid,0.0945741160581048,0.0944277581432744,0.0985379913653691,0.0961725452132016,0.0777418674148708,0.0650958462619501,0.0697017209365018,0.0965637815256784,0.0695841916386721,0.0836201358063283,0.0926348872034299,0.0613451584326188
"15-Deoxy-d-12,14-PGJ2",0.0913930149693985,0.0902504095764755,0.0946385763589393,0.0911236455094275,0.0820268323689394,0.073670725460865,0.0756689841288574,0.0882243470430348,0.0723063395249214,0.0823540913732953,0.0918613371186741,0.0664816965671718
N-Acetylserotonin,0.0900857180598893,0.0902632100555828,0.0971808796787742,0.098716186647168,0.0700994316468051,0.0635618160005824,0.0669025007554083,0.0986984467634571,0.0827401537256546,0.0833227443865311,0.0911954677183595,0.0672334445617876
Pipecolic acid,0.0876981404308296,0.0878150909332758,0.0934930045256321,0.0990067579155866,0.075641502305198,0.0642038386546856,0.0714892319229466,0.0955126819212244,0.0856811509122065,0.0804296650303858,0.0867662428243109,0.072262692623718
Taurocholic acid,0.0893315357284441,0.087220741693073,0.0884574121253893,0.0898011444160095,0.0880384387401804,0.0766354701065352,0.0801859225384803,0.0892629753320348,0.0780603537778721,0.077357945162131,0.0819975469275471,0.0736505134523032
