koid	org	name	op	definition	source
KO00071	224308	hutPHUIGM	BSU39340,BSU39350,BSU39360,BSU39370,BSU39380,BSU39390		10746760 8682780 12217662
KO00072	224308	pst	BSU24950,BSU24960,BSU24970,BSU24980,BSU24990		9098050 9680208
KO00073	224308	alsSD	BSU36000,BSU36010		10809684 7685336 10986270 11698370 10986249
KO00074	224308	grpE-yqeV	BSU25430,BSU25440,BSU25450,BSU25460,BSU25470,BSU25480		10383760
KO00075	224308	sdhCAB	BSU28430,BSU28440,BSU28450		3036777 3027051 1324713 3117551
KO00076	224308	dacBspmAB	BSU23170,BSU23180,BSU23190		7642500
KO00077	224308	desKR	BSU19190,BSU19200		12399512
KO00078	224308	rocG	BSU37790		12634342
KO00079	224308	gsiA	BSU12430,BSU12440		1378051
KO00080	224308	cydABCD	BSU38730,BSU38740,BSU38750,BSU38760		9852001
KO00081	224308	rpoE-pyrG	BSU37150,BSU37160		11544212
KO00082	224308	licBCAH	BSU38560,BSU38570,BSU38580,BSU38590		10438772 8990303
KO00083	224308	ecsABC	BSU10040,BSU10050,BSU10060		10027970
KO00084	224308	ccpB	BSU40850,BSU40860,BSU40870,BSU40880		9457849
KO00085	224308	folate	BSU00740,BSU00750,BSU00760,BSU00770,BSU00780,BSU00790,BSU00800,BSU00810,BSU00820		9084182
KO00086	224308	rluB	BSU23160		8631715
KO00087	224308	rpoE	BSU37160		11544212
KO00088	224308	acuABC	BSU29690,BSU29700,BSU29710		11274109
KO00089	224308	bioW	BSU30240		
KO00090	224308	azlBCDEF	BSU26680,BSU26690,BSU26700,BSU26710,BSU26720		9287000
KO00091	224308	cotJ	BSU06890,BSU06900,BSU06910		7768848 9364920
KO00092	224308	gerK	BSU03700,BSU03710,BSU03720		12670969
KO00093	224308	hom-thrCB	BSU32240,BSU32250,BSU32260		8768250
KO00094	224308	dnaK	BSU25460,BSU25470,BSU25480,BSU25490		7540247
KO00095	224308	ykuNOP	BSU14150,BSU14160,BSU14170		12354229
KO00096	224308	gapA	BSU33900,BSU33910,BSU33920,BSU33930,BSU33940,BSU33950		12622829 11489127 12622823
KO00097	224308	narGHJI	BSU37250,BSU37260,BSU37270,BSU37280		11698370 9540837 8846791 8682783 9352926
KO00098	224308	atpIBEFHAGDC	BSU36880,BSU36870,BSU36860,BSU36850,BSU36840,BSU36830,BSU36820,BSU36810,BSU36800		11557812
KO00099	224308	mtnKS	BSU13560,BSU13550		11545674
KO00100	224308	yjzAmed	BSU11300,BSU11310		10940045
KO00101	224308	spoVG	BSU00490		
KO00102	224308	murEDmraY	BSU15180,BSU15190,BSU15200		11557812
KO00103	224308	bioWAFDBIytbQ	BSU30180,BSU30190,BSU30200,BSU30210,BSU30220,BSU30230,BSU30240		8892842 8763940
KO00104	224308	spoIIA	BSU23450,BSU23460,BSU23470		8460142
KO00106	224308	bglS	BSU39070		11361076
KO00107	224308	speEB	BSU37490,BSU37500		9723923
KO00108	224308	gltXcysES	BSU00920,BSU00930,BSU00940		10024179
KO00109	224308	odhAB	BSU19360,BSU19370		11976317 1508153
KO00110	224308	pucJKLM	BSU32430,BSU32440,BSU32450,BSU32460		12029039
KO00111	224308	acoABCL	BSU08060,BSU08070,BSU08080,BSU08090		11274109
KO00112	224308	yebB	BSU06370		11591660
KO00113	224308	yhdNO	BSU09530,BSU09540		10220166
KO00114	224308	licR	BSU38600		8990303
KO00115	224308	addAB	BSU10620,BSU10630		7746142
KO00116	224308	resABCDErluB	BSU23110,BSU23120,BSU23130,BSU23140,BSU23150,BSU23160		8631715
KO00117	224308	degSU	BSU35490,BSU35500		1688843
KO00118	224308	ctaCDEF	BSU14890,BSU14900,BSU14910,BSU14920		9829923
KO00119	224308	gerA	BSU33050,BSU33060,BSU33070		12670969
KO00120	224308	S10-spc	BSU01150,BSU01160,BSU01170,BSU01180,BSU01190,BSU01200,BSU01210,BSU01220,BSU01230,BSU01240,BSU01250,BSU01260,BSU01270,BSU01280,BSU01290,BSU01300,BSU01310,BSU01320,BSU01330,BSU01340,BSU01350,BSU01360		12162807
KO00121	224308	tnrA	BSU13310		10671441
KO00122	224308	gerB	BSU35800,BSU35810,BSU35820		12670969
KO00123	224308	pucR	BSU32420		12029039
KO00124	224308	dra-nupC-pdp	BSU39400,BSU39410,BSU39420		11065368 10714997 10074062 8550462 9098051
KO00125	224308	spo0A	BSU24220		
KO00126	224308	feuABCybbA	BSU01600,BSU01610,BSU01620,BSU01630		12354229
KO00127	224308	sacByveBA	BSU34450,BSU34460,BSU34470		11739774
KO00128	224308	ptsGHI	BSU13890,BSU13900,BSU13910		11902727 10543968 9765562 11491085 11489127
KO00129	224308	kdgRKAT	BSU22090,BSU22100,BSU22110,BSU22120		9846747
KO00130	224308	yyc	BSU40370,BSU40380,BSU40390,BSU40400,BSU40410		9829949
KO00131	224308	ydaP	BSU04340		10220166
KO00132	224308	yciABC	BSU03340,BSU03350,BSU03360		12426338
KO00133	224308	acsA-tyrS	BSU29670,BSU29680		11544212
KO00134	224308	hrcA	BSU25490		10383760
KO00135	224308	ywmF-csbD	BSU36670,BSU36680		10376822
KO00136	224308	accBC	BSU24340,BSU24350		7592499
KO00137	224308	hemAXCDBL	BSU28120,BSU28130,BSU28140,BSU28150,BSU28160,BSU28170		7961402 8012594 1536660
KO00138	224308	araABDLMNOPQabfA	BSU28720,BSU28730,BSU28740,BSU28750,BSU28760,BSU28770,BSU28780,BSU28790,BSU28800		10417639
KO00139	224308	qcr	BSU22540,BSU22550,BSU22560,BSU22540,BSU22550,BSU22560		7592464
KO00141	224308	splAB	BSU13920,BSU13930		9323362 10629212 9009064
