genes,logFC,logCPM,F,PValue
SK_0043,-0.312673012,5.82222,3.14E-01,5.91E-01
SK_0044,-0.446009874,6.441046,6.63E-01,4.43E-01
SK_0045,-0.174446078,6.168643,9.20E-02,7.69E-01
SK_0046,-0.454748193,6.525172,4.55E-01,5.19E-01
SK_0047,0.890659015,6.210355,3.38E+00,1.04E-01
SK_0048,-0.612602755,7.533133,1.16E+00,4.03E-01
SK_0049,0.021062278,6.677298,1.42E-03,9.73E-01
SK_0050,-0.007980819,6.040612,2.43E-04,9.88E-01
SK_0051,0.046247195,5.920796,5.59E-03,9.42E-01
SK_0052,0.134548506,6.345531,3.97E-02,8.47E-01
SK_0053,-0.412068133,6.514974,4.52E-01,5.21E-01
SK_0054,0.595254917,6.402462,2.08E+00,3.01E-01
SK_0055,-0.168729916,5.939185,1.12E-01,7.47E-01
SK_0056,0.366317859,6.415652,8.09E-01,5.25E-01
SK_0057,0.701591153,7.189708,1.27E+00,3.14E-01
SK_0058,-0.899484639,6.062218,3.55E+00,9.70E-02
SK_0059,-0.835831983,5.82555,1.49E+00,2.58E-01
SK_0060,0.013250423,6.237847,7.17E-04,9.81E-01
SK_0061,-1.170150245,6.158987,4.43E+00,6.90E-02
SK_0062,-1.04185051,6.620717,2.37E+00,1.63E-01
SK_0063,0.413791191,5.750282,1.16E+00,3.79E-01
SK_0064,-0.831200531,6.587587,2.30E+00,1.71E-01
SK_0065,-0.56733924,9.968971,4.78E+00,4.23E-01
SK_0066,-0.329831443,8.422932,9.53E-01,6.37E-01
SK_0067,0.085636234,7.855606,8.68E-03,9.28E-01
SK_0068,-0.61371549,7.235495,1.73E+00,3.82E-01
SK_0069,-1.64778307,5.964846,1.01E+01,1.35E-02
SK_0070,-0.099124176,5.887012,1.69E-02,9.00E-01
SK_0071,0.177122609,5.904553,1.44E-01,7.20E-01
SK_0072,-0.239342001,6.585956,1.52E-01,7.07E-01
SK_0073,-0.150369229,7.334572,4.93E-02,8.33E-01
SK_0074,-0.156122,6.103874,1.26E-01,7.67E-01
SK_0075,-0.354115029,6.133265,5.12E-01,5.06E-01
SK_0076,0.344838977,6.051496,4.14E-01,5.38E-01
SK_0077,-0.473004724,6.462362,6.23E-01,4.53E-01
SK_0078,0.36065959,6.905911,3.29E-01,5.82E-01
SK_0079,0.150800234,6.729967,4.29E-02,8.41E-01
SK_0080,-0.803301917,5.809319,2.80E+00,1.33E-01
SK_0081,-0.156233058,6.917211,5.72E-02,8.17E-01
SK_0082,-0.1568678,6.026312,7.35E-02,7.93E-01
SK_0083,-0.046604623,6.300074,7.69E-03,9.33E-01
SK_0084,-0.727687745,6.25218,1.28E+00,2.92E-01
SK_0085,-0.356289974,5.988574,6.68E-01,4.84E-01
SK_0086,-0.307244048,6.499392,2.32E-01,6.43E-01
SK_0087,-1.467797763,9.823305,1.59E+00,2.43E-01
SK_0088,-0.07413586,9.261243,8.34E-02,9.10E-01
SK_0089,-0.296283362,8.790722,8.19E-01,6.55E-01
SK_0090,-0.066051033,6.426345,1.94E-02,9.09E-01
SK_0091,-0.074512693,5.983006,2.61E-02,8.83E-01
SK_0092,-1.564613747,6.682922,5.70E+00,4.45E-02
SK_0093,-0.819455842,6.826443,2.50E+00,2.04E-01
SK_0094,-0.325235087,5.862898,4.00E-01,5.45E-01
SK_0095,-0.973153896,5.982962,2.36E+00,1.64E-01
SK_0096,0.294634264,6.108396,5.50E-01,5.77E-01
SK_0097,-1.43650253,6.10478,6.25E+00,3.74E-02
SK_0098,0.811418286,6.733151,1.04E+00,3.38E-01
SK_0099,0.541460448,10.125057,3.84E+00,4.54E-01
SK_0100,-0.320600218,6.168334,3.52E-01,5.70E-01
SK_0101,-1.950158273,6.038805,1.36E+01,6.31E-03
SK_0102,-1.6026802,11.135822,2.28E+00,1.70E-01
SK_0103,0.024033249,6.408657,2.32E-03,9.67E-01
SK_0104,-0.638900304,6.084055,1.95E+00,2.24E-01
SK_0105,-0.647907131,6.109955,9.90E-01,3.49E-01
SK_0106,0.591038506,6.110371,1.39E+00,2.72E-01
SK_0107,-1.289660751,6.244922,9.15E+00,2.08E-02
SK_0108,-0.14996571,6.481256,9.45E-02,7.98E-01
SK_0109,-0.650456328,5.663633,1.90E+00,2.06E-01
SK_0110,-0.608876415,7.67354,1.25E+00,4.11E-01
SK_0111,-0.216350274,6.702121,6.07E-02,8.12E-01
SK_0112,-0.394596555,14.723355,1.81E+00,2.17E-01
SK_0113,0.176619535,6.29075,1.25E-01,7.51E-01
SK_0114,0.009882646,6.158668,2.80E-04,9.87E-01
SK_0115,-0.591288918,6.086551,1.31E+00,2.87E-01
SK_0116,-0.111744178,6.354889,4.88E-02,8.44E-01
SK_0117,0.552822673,6.354983,8.20E-01,3.92E-01
SK_0118,-0.303154019,6.17495,3.09E-01,5.94E-01
SK_0119,0.10103144,5.920567,4.78E-02,8.39E-01
SK_0120,0.27463222,5.883301,2.90E-01,6.05E-01
SK_0121,0.260761172,11.444328,9.18E-01,7.19E-01
SK_0122,-0.636571458,5.892218,2.43E+00,1.98E-01
SK_0123,0.745637534,6.478046,2.24E+00,2.06E-01
SK_0124,-0.421867065,6.383181,8.31E-01,4.61E-01
SK_0125,-0.881628786,6.75941,1.80E+00,2.17E-01
SK_0126,-1.281806025,6.250244,4.96E+00,5.71E-02
SK_0127,0.058353436,6.063169,1.72E-02,9.11E-01
SK_0128,0.225338343,5.988078,2.53E-01,6.58E-01
SK_0129,0.555594137,5.992779,1.43E+00,2.76E-01
SK_0130,-0.741354893,6.365987,1.97E+00,1.99E-01
SK_0131,-0.513008341,5.844619,2.24E+00,2.92E-01
SK_0132,-0.12484097,6.252521,5.85E-02,8.21E-01
SK_0133,-0.347975267,5.975868,4.72E-01,5.12E-01
SK_0134,-1.094083602,8.315617,7.18E+00,1.27E-01
SK_0135,0.048136319,16.031923,3.38E-01,6.93E-01
SK_0136,0.991589527,6.367808,2.37E+00,1.63E-01
SK_0137,0.086228358,6.374674,1.89E-02,8.94E-01
SK_0138,0.11281877,6.227486,3.50E-02,8.56E-01
SK_0139,-1.734721484,6.800231,1.13E+01,1.02E-02
SK_0140,0.100645191,5.932338,4.86E-02,8.40E-01
SK_0141,-1.261717104,6.21447,8.05E+00,2.24E-02
SK_0142,-0.148921663,5.936365,5.63E-02,8.18E-01
SK_0143,-0.076400233,6.120787,1.92E-02,8.93E-01
SK_0144,-0.233081374,6.545886,2.06E-01,6.96E-01
SK_0145,-0.908194548,6.475376,2.05E+00,1.90E-01
SK_0146,-0.113352873,6.260632,5.34E-02,8.37E-01
SK_0147,-0.70590943,6.045,2.24E+00,1.74E-01
SK_0148,-0.802318523,5.64285,5.45E+00,7.83E-02
SK_0149,0.003128946,6.024744,7.93E-05,9.95E-01
SK_0150,-0.166543155,6.156402,8.88E-02,7.73E-01
SK_0151,-0.507492897,6.12395,4.95E-01,5.02E-01
SK_0152,-0.2537581,6.482221,2.53E-01,6.65E-01
SK_0153,-0.514550856,6.247843,1.14E+00,3.50E-01
SK_0154,-0.173453927,6.20949,1.55E-01,7.50E-01
SK_0155,-0.744950759,6.012072,2.86E+00,1.48E-01
SK_0156,-1.235777035,6.717424,6.93E+00,5.08E-02
SK_0157,0.240547491,6.091194,1.51E-01,7.08E-01
SK_0158,-0.183643071,6.636812,6.87E-02,8.00E-01
SK_0159,0.571630234,6.103037,1.01E+00,3.45E-01
SK_0160,-0.240582679,6.274747,1.14E-01,7.44E-01
SK_0161,0.62715178,6.360725,7.32E-01,4.18E-01
SK_0162,-0.587132756,6.34629,1.37E+00,3.00E-01
SK_0163,-0.355723772,6.153446,5.86E-01,5.06E-01
SK_0164,-0.731084225,8.943115,6.90E+00,2.66E-01
SK_0165,-0.208631219,6.233033,1.34E-01,7.24E-01
SK_0166,-0.254416564,6.255549,2.04E-01,6.64E-01
SK_0167,-0.831449958,6.326155,1.52E+00,2.54E-01
SK_0168,0.080733021,6.132662,1.75E-02,8.98E-01
SK_0169,0.034310919,6.68019,6.06E-03,9.56E-01
SK_0170,-0.087533186,6.245275,2.79E-02,8.73E-01
SK_0171,0.168989942,6.402288,7.05E-02,7.97E-01
SK_0172,-0.532520689,6.251198,8.01E-01,3.97E-01
SK_0173,-0.870223372,10.155972,8.52E+00,2.32E-01
SK_0174,-0.086813588,5.852881,2.90E-02,8.69E-01
SK_0175,-0.254917403,5.910539,1.67E-01,6.94E-01
SK_0176,-0.670715263,7.569073,1.30E+00,3.62E-01
SK_0177,-0.552720924,6.452521,1.10E+00,3.44E-01
SK_0178,-0.313225361,6.194778,5.14E-01,5.63E-01
SK_0179,-0.856616032,6.041385,3.45E+00,1.01E-01
SK_0180,-0.410082226,5.709883,7.62E-01,4.08E-01
SK_0181,-0.602765911,11.700685,3.67E+00,3.91E-01
SK_0182,-1.120716226,5.986633,7.26E+00,2.92E-02
SK_0183,-0.69886965,6.315373,7.43E-01,4.14E-01
SK_0184,-0.975576274,8.015272,1.45E+00,2.64E-01
SK_0185,-0.346998771,6.132102,6.09E-01,5.14E-01
SK_0186,-0.765140444,6.015668,3.44E+00,1.38E-01
SK_0187,-0.332938212,5.999911,6.03E-01,5.14E-01
SK_0188,-0.169742972,6.090835,2.22E-01,7.46E-01
SK_0189,1.426393062,6.32834,1.19E+01,1.28E-02
SK_0190,0.106206045,6.226691,2.36E-02,8.82E-01
SK_0191,0.453828988,5.824933,1.25E+00,3.47E-01
SK_0192,-0.210517619,9.506285,5.26E-01,7.52E-01
SK_0193,-0.135477583,6.113417,1.25E-01,7.98E-01
SK_0194,-0.445753834,5.813424,8.67E-01,3.80E-01
SK_0195,-0.487693213,6.638089,9.77E-01,4.26E-01
SK_0196,1.017817926,9.464297,7.32E+00,1.29E-01
SK_0197,-1.26213116,7.361465,9.02E+00,8.17E-02
SK_0198,0.020940349,5.83054,3.97E-03,9.65E-01
SK_0199,-0.920962916,6.193211,4.61E+00,9.12E-02
SK_0200,-0.056710247,5.973102,1.05E-02,9.21E-01
SK_0201,0.018558764,6.22558,1.74E-03,9.73E-01
SK_0202,-0.277689061,5.992769,2.98E-01,6.00E-01
SK_0203,0.465166327,6.065697,7.51E-01,4.12E-01
SK_0204,-0.161761473,7.645276,5.32E-02,8.26E-01
SK_0205,-0.043345443,6.793853,7.95E-03,9.46E-01
SK_0206,-0.354323618,6.155931,3.33E-01,5.80E-01
SK_0207,0.154331969,6.224366,1.30E-01,7.77E-01
SK_0208,-0.217147121,5.774864,2.11E-01,6.58E-01
SK_0209,-0.24953472,6.177819,2.74E-01,6.43E-01
SK_0210,0.519492653,8.955895,1.58E-01,7.01E-01
SK_0211,-1.790295386,7.04375,5.03E+00,5.58E-02
SK_0212,-0.264456939,6.244061,1.39E-01,7.19E-01
SK_0213,0.400335102,6.021217,8.95E-01,4.36E-01
SK_0214,0.296136701,6.338498,2.00E-01,6.67E-01
SK_0215,-0.628745609,5.623795,2.14E+00,1.82E-01
SK_0216,0.567219515,6.317405,5.80E-01,4.68E-01
SK_0217,-0.10687986,5.783032,4.78E-02,8.32E-01
SK_0218,0.71765173,6.026151,3.24E+00,1.65E-01
SK_0219,-1.324185375,6.378486,6.29E+00,3.69E-02
SK_0220,-0.498636844,6.238319,1.50E+00,3.64E-01
SK_0221,-0.297905998,6.283695,2.55E-01,6.27E-01
SK_0222,-0.607214815,6.282734,1.29E+00,2.90E-01
SK_0223,0.085402146,6.085005,2.66E-02,8.74E-01
SK_0224,0.107715792,5.615642,4.22E-02,8.42E-01
SK_0225,-0.727923023,6.307346,1.65E+00,2.36E-01
SK_0226,-0.003264163,6.159448,5.75E-05,9.95E-01
SK_0227,-0.485748912,6.310169,1.16E+00,3.86E-01
SK_0228,-0.399966161,5.836155,7.47E-01,4.13E-01
SK_0229,-0.234235826,6.007093,1.78E-01,6.84E-01
SK_0230,-0.551517102,6.447566,1.03E+00,3.44E-01
SK_0231,-0.48858023,6.323294,5.56E-01,4.77E-01
SK_0232,-0.187132722,6.229749,1.88E-01,7.32E-01
SK_0233,-0.331649949,6.379276,4.51E-01,5.61E-01
SK_0234,-0.458735194,6.024912,8.08E-01,3.95E-01
SK_0235,-0.526881915,6.158669,1.66E+00,3.26E-01
SK_0236,-0.550508187,6.23529,1.31E+00,3.16E-01
SK_0237,-1.242357406,6.27397,5.07E+00,5.49E-02
SK_0238,-0.49981765,8.108124,2.29E+00,4.93E-01
SK_0239,0.412925812,6.213245,7.83E-01,4.49E-01
SK_0240,0.064782964,6.49284,8.89E-03,9.27E-01
SK_0241,-0.108384121,6.419204,5.14E-02,8.51E-01
SK_0242,-0.346796853,6.304137,5.38E-01,5.35E-01
SK_0243,0.139144004,6.251135,9.70E-02,8.00E-01
SK_0244,-0.283692365,10.33933,2.78E-01,7.01E-01
SK_0245,-0.640327428,13.118942,7.47E+00,2.19E-01
SK_0246,0.248910873,5.692495,3.32E-01,5.89E-01
SK_0247,-0.619833132,6.230804,6.47E-01,4.45E-01
SK_0248,-0.071691863,5.969414,2.98E-02,8.87E-01
SK_0249,-0.008754512,12.504727,9.89E-04,9.88E-01
SK_0250,-0.712710731,6.203089,2.83E+00,1.91E-01
SK_0251,-0.406253381,5.888103,5.58E-01,4.77E-01
SK_0252,-0.866970666,5.665267,5.59E+00,5.94E-02
SK_0253,-0.228389274,6.407696,3.65E-01,6.91E-01
SK_0254,0.544791113,13.284358,7.50E+00,2.73E-01
SK_0255,0.109049059,6.468452,2.50E-02,8.78E-01
SK_0256,-1.114808986,5.82592,8.99E+00,2.23E-02
SK_0257,-0.308627477,5.609711,4.60E-01,5.17E-01
SK_0258,0.349819984,6.029911,5.06E-01,4.97E-01
SK_0259,-0.373349436,6.047358,5.57E-01,4.77E-01
SK_0260,0.216658806,5.903431,1.60E-01,7.00E-01
SK_0261,-0.583115795,6.12283,9.80E-01,3.52E-01
SK_0262,-0.714301365,6.052035,3.04E+00,1.70E-01
SK_0263,-0.267145707,6.50956,2.43E-01,6.51E-01
SK_0264,-0.679098289,5.978857,1.95E+00,2.01E-01
SK_0265,-1.032953913,6.053187,4.93E+00,5.77E-02
SK_0266,0.738225871,6.81075,1.68E+00,2.50E-01
