genes,logFC,logCPM,F,PValue
SK_0367,-0.058380703,7.995305,3.14E-02,9.37E-01
SK_0368,-0.043498791,6.237745,6.77E-03,9.37E-01
SK_0369,0.253926318,5.460791,5.18E-01,5.49E-01
SK_0370,-0.073913665,6.240557,1.58E-02,9.03E-01
SK_0371,0.212824633,6.132905,2.03E-01,6.89E-01
SK_0372,0.503160093,6.059519,7.88E-01,4.01E-01
SK_0373,0.155881545,6.338592,6.33E-02,8.08E-01
SK_0374,0.813179676,6.186586,1.83E+00,2.13E-01
SK_0375,-0.962681201,5.878305,3.88E+00,8.50E-02
SK_0376,0.255175342,6.149033,3.14E-01,6.33E-01
SK_0377,-0.560931799,6.366742,1.21E+00,3.25E-01
SK_0378,4.371105351,8.690755,1.28E+02,3.82E-06
SK_0379,-0.203953826,6.094425,1.93E-01,6.98E-01
SK_0380,-0.616001086,6.185028,1.86E+00,2.55E-01
SK_0381,0.013332001,10.757845,2.69E-04,9.87E-01
SK_0382,0.425174085,6.042884,6.37E-01,4.48E-01
SK_0383,-0.309857786,6.751823,1.16E-01,7.42E-01
SK_0384,0.551497433,6.317601,1.51E+00,3.27E-01
SK_0385,-0.487278884,10.020939,3.57E+00,4.94E-01
SK_0386,-1.566212731,7.868725,1.79E+00,2.19E-01
SK_0387,-0.196940315,6.485766,1.70E-01,7.37E-01
SK_0388,-0.283106182,6.814944,3.32E-01,6.58E-01
SK_0389,-0.057037383,9.397761,4.43E-02,9.31E-01
SK_0390,-0.309621086,6.618079,2.20E-01,6.52E-01
SK_0391,0.71176782,6.586997,1.30E+00,2.88E-01
SK_0392,-0.771145865,8.35427,1.26E+00,2.94E-01
SK_0393,0.869680919,6.191697,3.08E+00,1.18E-01
SK_0394,0.45699187,7.694137,5.49E-01,5.37E-01
SK_0395,-3.227432197,8.509938,7.30E+00,2.74E-02
SK_0396,0.148714884,8.912479,9.56E-02,8.20E-01
SK_0397,-0.251786684,14.031633,2.31E+00,5.23E-01
SK_0398,-0.366367998,6.071749,6.84E-01,4.83E-01
SK_0399,0.549500873,9.14202,3.99E+00,4.00E-01
