samples,Bacteroides,Prevotella,Eubacterium,Faecalibacterium,Alistipes,Ruminococcus,Escherichia,undef,Roseburia,Bifidobacterium,Parabacteroides,Blautia,Clostridium,Butyrivibrio,Dialister,Coprococcus,Odoribacter,Klebsiella,Akkermansia,Streptococcus,Lactobacillus,Dorea,Capnocytophaga,Phascolarctobacterium,Sutterella,Veillonella,Fusobacterium,Bilophila,Collinsella,Megasphaera,Haemophilus,Acidaminococcus,Paraprevotella,Methanobrevibacter,Desulfovibrio,Enterobacter,Parasutterella,Mitsuokella,Coprobacillus,Eggerthella,Holdemania,Pseudoflavonifractor,Enterococcus,Anaerotruncus,Shigella,Oxalobacter,Anaerostipes,Pyramidobacter,Subdoligranulum,Citrobacter,Victivallis
MH0009,0.021872423,0.044240376,0.067433331,0.008711546,0.005625052,0.002278261,0.000687886,0.005689624,0.002517514,0.000511403,0.001458622,0.001009044,0.029248215,0.001063849,1.16E-05,0.002443522,0.002554203,0.001929627,0.00253805,0.000306917,2.29E-05,0.002858163,0.003612719,0.012261578,0.000113543,0.000187228,0,0.00065622,0.000208821,0,0.00067467,0,0.000635382,0.001045332,0,0.000167067,0,0.004207016,0.000560038,1.04E-05,0.000108383,9.46E-05,0,3.53E-05,0,0,1.27E-05,0,0.000128035,0,0.000797616
MH0042,0.115532747,0,0.057411235,0.004050342,0.015466645,0.015903686,3.51E-05,0.00720853,0.003623826,0.002944434,0.002823203,0.001177753,0.012417001,0.011095921,0.011559724,0.008980321,0.00601641,0,0.001368384,0.000256322,1.72E-05,0.02238734,0.001830114,0,0.000120314,0.000195055,1.76E-05,3.37E-05,0.000110637,0,0.000662218,0,0.000216431,0.000548284,7.88E-05,0,0.000143606,0,0,0,0.000127607,0.000108713,0,0,0,0,0,0,0,0,0
MH0197,0.021196659,0.081107352,0.008290526,0.023968285,0.034906709,0.003597751,0,0.003649628,0.000551439,0.007081832,0.002504479,0.009107297,0.001362846,0,0,0.002509863,0.000848874,0,0.03037112,0.000305025,6.34E-05,0.002075776,0,0,0.000254854,7.44E-05,4.91E-06,0.001309473,0.002648515,0,0.000105861,0,0,0.001731151,9.35E-06,0,1.01E-05,0,0,4.41E-05,5.10E-06,0.000205989,0,1.49E-05,0,0,0,0,0.000181657,0,9.79E-06
MH0307,0.032686013,0.235303814,0.034042036,0.021855958,0.034655977,0.015831642,3.05E-06,0.009483496,0.018229948,0.002196042,0.011861648,0.004643035,0.0012027,4.45E-05,1.32E-05,0.003806739,0.002102614,0,0.000207423,0.000248859,4.35E-06,0.001316172,0,0.032011637,0.000263751,2.68E-05,0,0.001414646,0.001411466,8.97E-06,4.22E-06,0,0,0,0.001257494,0,1.33E-05,0,0,1.19E-05,0.000165092,8.07E-05,0,8.96E-06,1.20E-06,0,0,0,0.00011012,0,2.20E-05
MH0065,0.038344129,0.0767762,0.019399781,0.027425262,0.021471032,0.00559986,6.62E-05,0.014681532,0.001605019,0.000381395,0.005749049,0.001322074,6.98E-05,0.019916116,0,0.005166542,0.002789968,6.58E-05,0.000120492,0.000535791,3.41E-05,0.002212474,0.000164286,0,0,0.000663176,0,0.000115638,3.10E-05,3.50E-05,2.17E-05,7.01E-05,0.00494752,0.00490351,0,0,0.000216779,0,0,0,7.15E-05,0.000104763,0,4.37E-05,0,0,0,0,6.87E-05,0,0.001304858
MH0173,0.070360327,0.175171588,0.030083,0.012909728,0.002890842,0.014252845,1.30E-05,0.006048973,0.014403358,0.000587162,0.008960797,0.001107552,0.000258786,0.159220113,0,0.004207863,0.002025128,0,0,0.001164729,0,0.003317776,0.003241058,1.50E-05,0.001908475,0.000674516,6.78E-06,0.000737446,0.000346078,0,1.94E-05,0,0.000418702,0.000583807,0,0,0,0,0,0,0.000189109,0.000116133,0,1.37E-05,0,0,7.36E-06,0,8.77E-05,0,1.34E-05
MH0229,0.145021497,1.09E-05,0.01186108,0.043923306,0.001184316,0.021941398,0.001536581,0.03706325,0.002038034,3.63E-05,0.000213589,0.000721223,0.015701223,0.00087616,0.059764877,0.009907989,0.004737984,0,8.46E-05,0.001384198,4.98E-05,0.003728991,0,0,0.000480733,0.000717953,0,0.001104209,0.005624835,0,1.17E-05,5.74E-06,0,0.027371521,5.44E-06,0,0,0,0,0.000354396,5.27E-05,0.000530267,0,1.72E-05,0,0,0,0,0.000187066,0,5.63E-06
MH0253,0.115740004,8.52E-05,0.095318334,0.043707321,0.028829655,0.022826265,0.000152861,0.015583081,0.006411663,0.00287645,0.008961267,0.00453351,0.000332052,0,0,0.0044178,0.002719862,0,0.001600014,0.000295882,5.79E-06,0.00216076,0.004593883,0,0.004275205,0,5.86E-06,0.000329446,0.001661645,0,2.23E-05,0,0.000618846,0.000192237,0.003357474,0,3.55E-05,0,0,4.18E-05,0.000133008,0.000330216,0,5.91E-06,0,0,0,0,0.000284453,0,0
MH0195,0.115133566,0.311788342,0.045053489,0.020722418,0.031034392,0.00983405,1.45E-05,0.004761803,0.006930112,0.002643279,0.012922535,0.002859318,0.001338448,1.56E-05,0,0.002362607,0.003122261,0,4.51E-05,0.000345285,0,0.003708573,0.000640665,5.58E-06,0,4.04E-05,0,0.00196352,0.000185228,0,6.90E-05,0,0.005605914,0.000389599,0,0,0.00046225,0,0,0,0.000130268,0.000326302,0,0,0,0,0,0,9.51E-05,0,5.00E-06
MH0168,0.059171745,0.147032446,0.055784662,0.019848766,0.014591835,0.018357319,0.000508982,0.007951266,0.004369203,0.000843194,0.003448882,0.002815941,0.000746821,2.57E-05,5.08E-05,0.002580763,0.004883964,4.88E-05,0.000161328,0.000699331,2.51E-05,0.003017366,0,0,0.00537393,0.001056101,4.28E-05,0.000114084,0.000803179,0,0.000175549,0,0,0.000750572,2.44E-05,0,7.58E-05,0,8.73E-06,1.53E-05,8.82E-05,0.000120223,0,1.72E-05,1.81E-05,6.71E-05,0,0,0.000203503,0,9.32E-05
