ET Within_ET_space
MH0229 ET_F TRUE
MH0253 ET_F TRUE
MH0195 ET_P TRUE
MH0168 ET_P TRUE
MH0070 ET_F TRUE
MH0450 ET_F TRUE
MH0115 ET_F TRUE
MH0445 ET_F TRUE
MH0077 ET_P TRUE
MH0288 ET_P TRUE
MH0145 ET_F TRUE
MH0220 ET_F TRUE
MH0200 ET_F TRUE
MH0100 ET_F TRUE
MH0224 ET_P TRUE
MH0196 ET_F TRUE
MH0204 ET_F TRUE
MH0412 ET_F TRUE
MH0031 ET_F TRUE
MH0451 ET_F TRUE
MH0436 ET_P TRUE
MH0437 ET_F TRUE
MH0183 ET_P TRUE
MH0132 ET_F TRUE
MH0090 ET_F TRUE
MH0144 ET_P TRUE
MH0439 ET_F TRUE
MH0413 ET_P TRUE
MH0117 ET_F TRUE
MH0143 ET_F TRUE
MH0124 ET_F TRUE
MH0454 ET_F TRUE
MH0318 ET_F TRUE
MH0408 ET_F TRUE
MH0430 ET_F TRUE
MH0276 ET_F TRUE
MH0250 ET_F TRUE
MH0417 ET_F TRUE
MH0407 ET_P TRUE
MH0434 ET_F TRUE
MH0438 ET_F TRUE
MH0012 ET_F TRUE
MH0428 ET_P TRUE
MH0126 ET_F TRUE
MH0415 ET_F TRUE
MH0457 ET_F TRUE
MH0442 ET_F TRUE
MH0421 ET_P TRUE
MH0448 ET_F TRUE
MH0447 ET_P TRUE
MH0006 ET_P TRUE
