# Cross-impact matrix: fraction of significantly affected genes per pathway
# Rows = intervention conditions, Columns = pathways
Condition_InterventionGene_Mode,pathway_bcaa_metabolism,pathway_cell_wall,pathway_dna_repair,pathway_iron_metabolism,pathway_nrps,pathway_pks,pathway_quorum_sensing,pathway_sporulation,pathway_stress_response,pathway_tca_cycle
srfAC_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
srfAD_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sfp_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
gltA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
acnA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
acnB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
icd_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sucC_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sucD_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sucA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sucB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
lpd_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sdhA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sdhB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sdhC_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sdhD_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
fumA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
fumB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
fumC_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
mdh_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaC_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaD_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaE_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
ctaF_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
atpA_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
atpB_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
atpC_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
atpD_Knockdown,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
