# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
dppA,srfAB_Knockout,srfAB,Knockout,0.0018,-0.0048,-0.0065,-369.4989,-0.0065,0
dppB,srfAB_Knockout,srfAB,Knockout,-0.0093,-0.0096,-0.0004,-3.8126,-0.0004,0
dppC,srfAB_Knockout,srfAB,Knockout,0.0049,-0.0022,-0.0071,-144.8672,-0.0071,0
dppD,srfAB_Knockout,srfAB,Knockout,0.0076,-0.0172,-0.0248,-326.9225,-0.0248,0
dppE,srfAB_Knockout,srfAB,Knockout,0.0187,-0.0043,-0.0230,-123.0653,-0.0230,0
dppF,srfAB_Knockout,srfAB,Knockout,-0.0003,0.0026,0.0029,1055.6091,0.0029,0
bcaP,srfAB_Knockout,srfAB,Knockout,0.0043,-0.0058,-0.0101,-235.5732,-0.0101,0
brnQ,srfAB_Knockout,srfAB,Knockout,-0.0065,-0.0102,-0.0037,-56.6610,-0.0037,0
braB,srfAB_Knockout,srfAB,Knockout,0.0154,0.0085,-0.0069,-44.6881,-0.0069,0
glnP,srfAB_Knockout,srfAB,Knockout,0.0125,0.0100,-0.0026,-20.3974,-0.0026,0
glnQ,srfAB_Knockout,srfAB,Knockout,-0.0034,0.0054,0.0088,255.8679,0.0088,0
glnH,srfAB_Knockout,srfAB,Knockout,0.0124,0.0023,-0.0101,-81.3536,-0.0101,0
proP,srfAB_Knockout,srfAB,Knockout,-0.0146,0.0133,0.0279,190.9815,0.0279,0
proV,srfAB_Knockout,srfAB,Knockout,-0.0030,-0.0223,-0.0193,-648.5612,-0.0193,0
proW,srfAB_Knockout,srfAB,Knockout,-0.0071,0.0068,0.0140,195.9921,0.0140,0
proX,srfAB_Knockout,srfAB,Knockout,0.0231,-0.0050,-0.0281,-121.8180,-0.0281,0
gltP,srfAB_Knockout,srfAB,Knockout,0.0127,-0.0042,-0.0169,-133.0966,-0.0169,0
gltS,srfAB_Knockout,srfAB,Knockout,-0.0027,0.0087,0.0114,416.5557,0.0114,0
gltT,srfAB_Knockout,srfAB,Knockout,0.0023,-0.0124,-0.0147,-637.4789,-0.0147,0
dctA,srfAB_Knockout,srfAB,Knockout,0.0009,0.0117,0.0108,1254.2574,0.0108,0
dctB,srfAB_Knockout,srfAB,Knockout,0.0142,0.0070,-0.0072,-50.5739,-0.0072,0
dctP,srfAB_Knockout,srfAB,Knockout,0.0056,-0.0096,-0.0152,-269.5390,-0.0152,0
citM,srfAB_Knockout,srfAB,Knockout,0.0199,-0.0077,-0.0276,-138.6745,-0.0276,0
citH,srfAB_Knockout,srfAB,Knockout,-0.0081,0.0074,0.0155,190.7319,0.0155,0
citP,srfAB_Knockout,srfAB,Knockout,0.0049,-0.0046,-0.0095,-192.7924,-0.0095,0
mntH,srfAB_Knockout,srfAB,Knockout,0.0018,0.0002,-0.0016,-91.3322,-0.0016,0
mntD,srfAB_Knockout,srfAB,Knockout,0.0035,0.0035,-0.0000,-1.0189,-0.0000,0
feuA,srfAB_Knockout,srfAB,Knockout,0.0180,0.0081,-0.0099,-54.8386,-0.0099,0
feuB,srfAB_Knockout,srfAB,Knockout,-0.0105,-0.0000,0.0104,99.6817,0.0104,0
feuC,srfAB_Knockout,srfAB,Knockout,-0.0097,-0.0045,0.0051,53.0853,0.0051,0
feuD,srfAB_Knockout,srfAB,Knockout,-0.0047,0.0241,0.0288,611.6314,0.0288,0
fhuB,srfAB_Knockout,srfAB,Knockout,-0.0155,0.0004,0.0159,102.6400,0.0159,0
fhuC,srfAB_Knockout,srfAB,Knockout,-0.0001,-0.0089,-0.0087,-5978.1547,-0.0087,0
fhuD,srfAB_Knockout,srfAB,Knockout,0.0107,0.0055,-0.0053,-48.9816,-0.0053,0
fhuG,srfAB_Knockout,srfAB,Knockout,0.0095,-0.0024,-0.0119,-125.7794,-0.0119,0
murA,srfAB_Knockout,srfAB,Knockout,-0.0113,0.0012,0.0125,110.8400,0.0125,0
murB,srfAB_Knockout,srfAB,Knockout,-0.0040,-0.0052,-0.0012,-29.4753,-0.0012,0
murC,srfAB_Knockout,srfAB,Knockout,-0.0219,-0.0110,0.0109,49.9646,0.0109,0
murD,srfAB_Knockout,srfAB,Knockout,-0.0189,-0.0126,0.0063,33.1893,0.0063,0
murE,srfAB_Knockout,srfAB,Knockout,-0.0178,-0.0130,0.0049,27.3046,0.0049,0
murF,srfAB_Knockout,srfAB,Knockout,-0.0221,-0.0059,0.0162,73.3155,0.0162,0
murG,srfAB_Knockout,srfAB,Knockout,-0.0172,-0.0016,0.0156,90.7325,0.0156,0
ddlA,srfAB_Knockout,srfAB,Knockout,-0.0146,-0.0062,0.0084,57.6943,0.0084,0
ddlB,srfAB_Knockout,srfAB,Knockout,-0.0240,-0.0085,0.0156,64.7662,0.0156,0
alr,srfAB_Knockout,srfAB,Knockout,-0.0106,-0.0081,0.0025,23.9248,0.0025,0
dat,srfAB_Knockout,srfAB,Knockout,-0.0142,-0.0014,0.0128,90.1928,0.0128,0
glmS,srfAB_Knockout,srfAB,Knockout,-0.0218,-0.0054,0.0164,75.3442,0.0164,0
glmM,srfAB_Knockout,srfAB,Knockout,-0.0160,-0.0164,-0.0004,-2.3698,-0.0004,0
glmU,srfAB_Knockout,srfAB,Knockout,-0.0200,-0.0140,0.0060,30.0191,0.0060,0
mreB,srfAB_Knockout,srfAB,Knockout,-0.0211,-0.0165,0.0046,21.7658,0.0046,0
mreC,srfAB_Knockout,srfAB,Knockout,-0.0192,-0.0133,0.0060,31.0179,0.0060,0
mreD,srfAB_Knockout,srfAB,Knockout,-0.0202,-0.0092,0.0110,54.6110,0.0110,0
rodA,srfAB_Knockout,srfAB,Knockout,-0.0120,-0.0089,0.0031,25.9807,0.0031,0
pbpA,srfAB_Knockout,srfAB,Knockout,-0.0208,-0.0118,0.0090,43.4048,0.0090,0
pbpB,srfAB_Knockout,srfAB,Knockout,-0.0147,-0.0115,0.0032,21.8323,0.0032,0
pbpC,srfAB_Knockout,srfAB,Knockout,-0.0176,-0.0092,0.0085,47.9937,0.0085,0
pbpD,srfAB_Knockout,srfAB,Knockout,-0.0235,-0.0092,0.0144,61.0490,0.0144,0
pbpE,srfAB_Knockout,srfAB,Knockout,-0.0210,-0.0135,0.0075,35.5882,0.0075,0
tagO,srfAB_Knockout,srfAB,Knockout,-0.0160,-0.0122,0.0038,23.8273,0.0038,0
tagA,srfAB_Knockout,srfAB,Knockout,-0.0161,-0.0034,0.0127,78.7016,0.0127,0
tagB,srfAB_Knockout,srfAB,Knockout,-0.0206,-0.0102,0.0104,50.4226,0.0104,0
tagC,srfAB_Knockout,srfAB,Knockout,-0.0167,-0.0027,0.0140,83.9839,0.0140,0
tagD,srfAB_Knockout,srfAB,Knockout,-0.0192,-0.0135,0.0058,29.9425,0.0058,0
tagE,srfAB_Knockout,srfAB,Knockout,-0.0208,-0.0065,0.0143,68.7515,0.0143,0
tagF,srfAB_Knockout,srfAB,Knockout,-0.0199,-0.0064,0.0135,67.7262,0.0135,0
dltA,srfAB_Knockout,srfAB,Knockout,-0.0235,-0.0048,0.0187,79.4456,0.0187,0
dltB,srfAB_Knockout,srfAB,Knockout,-0.0158,-0.0064,0.0094,59.4004,0.0094,0
dltC,srfAB_Knockout,srfAB,Knockout,-0.0149,-0.0121,0.0028,18.5956,0.0028,0
dltD,srfAB_Knockout,srfAB,Knockout,-0.0162,-0.0065,0.0096,59.5502,0.0096,0
dltE,srfAB_Knockout,srfAB,Knockout,-0.0198,-0.0174,0.0025,12.4758,0.0025,0
acnA,srfAB_Knockout,srfAB,Knockout,-0.0210,-0.0083,0.0126,60.1864,0.0126,0
acnB,srfAB_Knockout,srfAB,Knockout,0.0083,0.0009,-0.0074,-88.7434,-0.0074,0
icd,srfAB_Knockout,srfAB,Knockout,0.0035,-0.0168,-0.0203,-574.7277,-0.0203,0
sucC,srfAB_Knockout,srfAB,Knockout,0.0088,-0.0178,-0.0266,-302.6387,-0.0266,0
sucD,srfAB_Knockout,srfAB,Knockout,-0.0036,0.0113,0.0149,415.1510,0.0149,0
sucA,srfAB_Knockout,srfAB,Knockout,0.0040,0.0243,0.0203,502.6509,0.0203,0
sucB,srfAB_Knockout,srfAB,Knockout,-0.0163,0.0064,0.0227,138.9795,0.0227,0
lpd,srfAB_Knockout,srfAB,Knockout,0.0084,-0.0029,-0.0114,-134.9590,-0.0114,0
sdhA,srfAB_Knockout,srfAB,Knockout,-0.0035,-0.0049,-0.0013,-37.7676,-0.0013,0
sdhB,srfAB_Knockout,srfAB,Knockout,0.0021,-0.0042,-0.0062,-298.5998,-0.0062,0
sdhC,srfAB_Knockout,srfAB,Knockout,0.0102,0.0041,-0.0062,-60.3287,-0.0062,0
sdhD,srfAB_Knockout,srfAB,Knockout,-0.0085,-0.0057,0.0028,32.5735,0.0028,0
fumA,srfAB_Knockout,srfAB,Knockout,0.0071,0.0080,0.0009,12.4336,0.0009,0
fumB,srfAB_Knockout,srfAB,Knockout,0.0081,0.0145,0.0064,78.2899,0.0064,0
fumC,srfAB_Knockout,srfAB,Knockout,-0.0062,-0.0031,0.0030,49.0945,0.0030,0
mdh,srfAB_Knockout,srfAB,Knockout,-0.0065,0.0070,0.0135,207.6601,0.0135,0
ctaA,srfAB_Knockout,srfAB,Knockout,0.0057,-0.0160,-0.0218,-380.7670,-0.0218,0
ctaB,srfAB_Knockout,srfAB,Knockout,0.0142,0.0040,-0.0102,-71.9120,-0.0102,0
ctaC,srfAB_Knockout,srfAB,Knockout,0.0078,-0.0117,-0.0195,-249.1860,-0.0195,0
ctaD,srfAB_Knockout,srfAB,Knockout,0.0082,0.0023,-0.0059,-71.5024,-0.0059,0
ctaE,srfAB_Knockout,srfAB,Knockout,0.0149,-0.0080,-0.0229,-154.0377,-0.0229,0
ctaF,srfAB_Knockout,srfAB,Knockout,0.0088,-0.0018,-0.0105,-120.1380,-0.0105,0
qoxA,srfAB_Knockout,srfAB,Knockout,0.0137,0.0049,-0.0088,-63.9840,-0.0088,0
qoxB,srfAB_Knockout,srfAB,Knockout,0.0052,0.0138,0.0085,163.0659,0.0085,0
qoxC,srfAB_Knockout,srfAB,Knockout,0.0139,0.0097,-0.0041,-29.8710,-0.0041,0
qoxD,srfAB_Knockout,srfAB,Knockout,-0.0043,-0.0195,-0.0152,-354.9155,-0.0152,0
qoxE,srfAB_Knockout,srfAB,Knockout,0.0086,0.0032,-0.0053,-62.4125,-0.0053,0
qoxF,srfAB_Knockout,srfAB,Knockout,-0.0053,0.0000,0.0053,100.2834,0.0053,0
cydA,srfAB_Knockout,srfAB,Knockout,0.0124,0.0022,-0.0102,-82.5610,-0.0102,0
cydB,srfAB_Knockout,srfAB,Knockout,0.0127,-0.0010,-0.0137,-108.1318,-0.0137,0
cydC,srfAB_Knockout,srfAB,Knockout,0.0081,-0.0010,-0.0092,-112.8683,-0.0092,0
cydD,srfAB_Knockout,srfAB,Knockout,0.0095,-0.0143,-0.0237,-251.0446,-0.0237,0
atpA,srfAB_Knockout,srfAB,Knockout,0.0018,0.0112,0.0094,519.9757,0.0094,0
atpB,srfAB_Knockout,srfAB,Knockout,0.0019,0.0024,0.0005,26.6101,0.0005,0
atpC,srfAB_Knockout,srfAB,Knockout,-0.0106,-0.0033,0.0073,68.8030,0.0073,0
atpD,srfAB_Knockout,srfAB,Knockout,-0.0067,-0.0044,0.0023,33.8784,0.0023,0
atpE,srfAB_Knockout,srfAB,Knockout,-0.0054,-0.0000,0.0054,99.8609,0.0054,0
atpF,srfAB_Knockout,srfAB,Knockout,-0.0051,-0.0011,0.0040,78.4434,0.0040,0
atpG,srfAB_Knockout,srfAB,Knockout,-0.0050,0.0008,0.0058,116.2118,0.0058,0
atpH,srfAB_Knockout,srfAB,Knockout,-0.0114,0.0054,0.0168,147.4521,0.0168,0
ndh,srfAB_Knockout,srfAB,Knockout,0.0002,0.0018,0.0016,842.2637,0.0016,0
nuoA,srfAB_Knockout,srfAB,Knockout,0.0050,-0.0132,-0.0182,-361.7062,-0.0182,0
nuoB,srfAB_Knockout,srfAB,Knockout,0.0000,0.0014,0.0014,29527.2870,0.0014,0
nuoC,srfAB_Knockout,srfAB,Knockout,-0.0098,-0.0053,0.0046,46.3395,0.0046,0
nuoD,srfAB_Knockout,srfAB,Knockout,0.0233,-0.0016,-0.0249,-106.8595,-0.0249,0
nuoE,srfAB_Knockout,srfAB,Knockout,0.0096,-0.0042,-0.0139,-144.1253,-0.0139,0
nuoF,srfAB_Knockout,srfAB,Knockout,0.0142,0.0038,-0.0104,-73.4379,-0.0104,0
gyrA,srfAB_Knockout,srfAB,Knockout,-0.0019,0.0050,0.0068,366.6260,0.0068,0
gyrB,srfAB_Knockout,srfAB,Knockout,-0.0194,-0.0037,0.0156,80.8542,0.0156,0
parC,srfAB_Knockout,srfAB,Knockout,-0.0078,-0.0092,-0.0014,-17.3076,-0.0014,0
parE,srfAB_Knockout,srfAB,Knockout,0.0096,-0.0031,-0.0127,-132.4284,-0.0127,0
dnaA,srfAB_Knockout,srfAB,Knockout,0.0208,-0.0032,-0.0239,-115.2849,-0.0239,0
dnaB,srfAB_Knockout,srfAB,Knockout,0.0060,-0.0023,-0.0084,-138.5482,-0.0084,0
dnaC,srfAB_Knockout,srfAB,Knockout,-0.0067,-0.0136,-0.0069,-103.5483,-0.0069,0
dnaD,srfAB_Knockout,srfAB,Knockout,-0.0079,0.0006,0.0085,107.4166,0.0085,0
dnaE,srfAB_Knockout,srfAB,Knockout,0.0002,0.0037,0.0035,2154.8218,0.0035,0
dnaF,srfAB_Knockout,srfAB,Knockout,0.0042,0.0086,0.0044,104.2650,0.0044,0
polA,srfAB_Knockout,srfAB,Knockout,-0.0048,0.0072,0.0119,251.2091,0.0119,0
polC,srfAB_Knockout,srfAB,Knockout,-0.0068,-0.0080,-0.0012,-18.2267,-0.0012,0
yorM,srfAB_Knockout,srfAB,Knockout,-0.0109,0.0069,0.0178,163.7184,0.0178,0
recA,srfAB_Knockout,srfAB,Knockout,0.0071,0.0052,-0.0019,-26.8609,-0.0019,0
recB,srfAB_Knockout,srfAB,Knockout,-0.0036,0.0151,0.0187,526.4043,0.0187,0
recC,srfAB_Knockout,srfAB,Knockout,0.0090,0.0108,0.0018,20.1447,0.0018,0
recD,srfAB_Knockout,srfAB,Knockout,-0.0025,0.0038,0.0063,252.5645,0.0063,0
recE,srfAB_Knockout,srfAB,Knockout,-0.0028,0.0032,0.0060,213.4983,0.0060,0
recF,srfAB_Knockout,srfAB,Knockout,-0.0080,0.0147,0.0227,283.1815,0.0227,0
recG,srfAB_Knockout,srfAB,Knockout,-0.0148,0.0050,0.0198,133.8334,0.0198,0
uvrA,srfAB_Knockout,srfAB,Knockout,0.0157,0.0067,-0.0090,-57.4242,-0.0090,0
uvrB,srfAB_Knockout,srfAB,Knockout,-0.0004,0.0026,0.0030,777.7699,0.0030,0
uvrC,srfAB_Knockout,srfAB,Knockout,-0.0008,0.0038,0.0046,549.7720,0.0046,0
mutS,srfAB_Knockout,srfAB,Knockout,-0.0038,-0.0103,-0.0065,-169.5240,-0.0065,0
mutL,srfAB_Knockout,srfAB,Knockout,0.0024,-0.0035,-0.0059,-243.7996,-0.0059,0
mutH,srfAB_Knockout,srfAB,Knockout,-0.0040,0.0032,0.0072,178.7516,0.0072,0
ligA,srfAB_Knockout,srfAB,Knockout,-0.0118,-0.0125,-0.0007,-6.2084,-0.0007,0
ligB,srfAB_Knockout,srfAB,Knockout,-0.0120,-0.0159,-0.0038,-31.8696,-0.0038,0
ligC,srfAB_Knockout,srfAB,Knockout,-0.0230,0.0124,0.0354,154.0845,0.0354,0
topA,srfAB_Knockout,srfAB,Knockout,-0.0041,0.0016,0.0057,138.9935,0.0057,0
topB,srfAB_Knockout,srfAB,Knockout,-0.0012,0.0056,0.0068,566.0272,0.0068,0
rpoA,srfAB_Knockout,srfAB,Knockout,0.0008,0.0163,0.0155,1960.0536,0.0155,0
rpoB,srfAB_Knockout,srfAB,Knockout,0.0095,0.0133,0.0038,39.6062,0.0038,0
rpoC,srfAB_Knockout,srfAB,Knockout,0.0095,0.0018,-0.0077,-80.8157,-0.0077,0
rpoD,srfAB_Knockout,srfAB,Knockout,0.0026,0.0060,0.0034,130.3490,0.0034,0
rpoE,srfAB_Knockout,srfAB,Knockout,-0.0035,0.0167,0.0202,571.3819,0.0202,0
rpsA,srfAB_Knockout,srfAB,Knockout,-0.0077,-0.0176,-0.0100,-130.4720,-0.0100,0
rpsB,srfAB_Knockout,srfAB,Knockout,-0.0071,0.0014,0.0084,119.4308,0.0084,0
rpsC,srfAB_Knockout,srfAB,Knockout,-0.0085,0.0030,0.0114,135.2405,0.0114,0
rpsD,srfAB_Knockout,srfAB,Knockout,0.0119,0.0068,-0.0052,-43.2865,-0.0052,0
rpsE,srfAB_Knockout,srfAB,Knockout,-0.0040,0.0067,0.0107,267.2529,0.0107,0
rplA,srfAB_Knockout,srfAB,Knockout,-0.0003,-0.0073,-0.0070,-2328.8279,-0.0070,0
rplB,srfAB_Knockout,srfAB,Knockout,-0.0060,0.0254,0.0314,520.2043,0.0314,0
rplC,srfAB_Knockout,srfAB,Knockout,0.0088,-0.0007,-0.0095,-108.4518,-0.0095,0
rplD,srfAB_Knockout,srfAB,Knockout,0.0040,-0.0094,-0.0134,-333.7909,-0.0134,0
rplE,srfAB_Knockout,srfAB,Knockout,-0.0289,0.0073,0.0362,125.3636,0.0362,0
tufA,srfAB_Knockout,srfAB,Knockout,0.0008,-0.0037,-0.0044,-576.0448,-0.0044,0
tufB,srfAB_Knockout,srfAB,Knockout,-0.0058,0.0039,0.0097,167.0970,0.0097,0
fusA,srfAB_Knockout,srfAB,Knockout,0.0035,-0.0042,-0.0077,-217.6214,-0.0077,0
tsf,srfAB_Knockout,srfAB,Knockout,0.0021,0.0187,0.0166,807.6520,0.0166,0
infA,srfAB_Knockout,srfAB,Knockout,0.0192,0.0145,-0.0047,-24.3656,-0.0047,0
infB,srfAB_Knockout,srfAB,Knockout,-0.0125,0.0060,0.0185,147.9167,0.0185,0
infC,srfAB_Knockout,srfAB,Knockout,0.0027,-0.0018,-0.0045,-167.6737,-0.0045,0
groL,srfAB_Knockout,srfAB,Knockout,-0.0007,-0.0004,0.0002,37.1727,0.0002,0
groS,srfAB_Knockout,srfAB,Knockout,0.0140,-0.0019,-0.0159,-113.5424,-0.0159,0
dnaK,srfAB_Knockout,srfAB,Knockout,0.0009,-0.0213,-0.0222,-2442.3057,-0.0222,0
dnaJ,srfAB_Knockout,srfAB,Knockout,-0.0074,-0.0062,0.0012,16.6139,0.0012,0
grpE,srfAB_Knockout,srfAB,Knockout,-0.0114,-0.0075,0.0039,34.2758,0.0039,0
clpB,srfAB_Knockout,srfAB,Knockout,0.0111,0.0157,0.0045,40.8513,0.0045,0
clpC,srfAB_Knockout,srfAB,Knockout,0.0028,-0.0081,-0.0109,-382.6818,-0.0109,0
clpE,srfAB_Knockout,srfAB,Knockout,0.0144,0.0135,-0.0009,-6.1527,-0.0009,0
ftsZ,srfAB_Knockout,srfAB,Knockout,0.0127,-0.0065,-0.0192,-151.3876,-0.0192,0
ftsA,srfAB_Knockout,srfAB,Knockout,-0.0029,-0.0010,0.0019,65.8832,0.0019,0
ftsE,srfAB_Knockout,srfAB,Knockout,-0.0049,0.0003,0.0053,106.5342,0.0053,0
ftsX,srfAB_Knockout,srfAB,Knockout,-0.0151,0.0050,0.0201,133.4269,0.0201,0
ftsY,srfAB_Knockout,srfAB,Knockout,-0.0077,-0.0048,0.0029,37.9438,0.0029,0
minC,srfAB_Knockout,srfAB,Knockout,-0.0078,0.0003,0.0081,103.7753,0.0081,0
minD,srfAB_Knockout,srfAB,Knockout,-0.0136,0.0073,0.0210,153.8117,0.0210,0
minE,srfAB_Knockout,srfAB,Knockout,-0.0046,-0.0064,-0.0018,-39.6163,-0.0018,0
secA,srfAB_Knockout,srfAB,Knockout,0.0068,-0.0064,-0.0132,-193.9823,-0.0132,0
secD,srfAB_Knockout,srfAB,Knockout,-0.0098,-0.0087,0.0011,11.3489,0.0011,0
secE,srfAB_Knockout,srfAB,Knockout,0.0098,0.0072,-0.0026,-26.7547,-0.0026,0
secF,srfAB_Knockout,srfAB,Knockout,-0.0139,0.0026,0.0165,118.6885,0.0165,0
secG,srfAB_Knockout,srfAB,Knockout,-0.0118,-0.0149,-0.0031,-26.1263,-0.0031,0
secY,srfAB_Knockout,srfAB,Knockout,0.0117,-0.0127,-0.0244,-208.2238,-0.0244,0
tatA,srfAB_Knockout,srfAB,Knockout,-0.0098,0.0112,0.0210,214.4289,0.0210,0
tatB,srfAB_Knockout,srfAB,Knockout,0.0012,-0.0066,-0.0077,-661.8362,-0.0077,0
tatC,srfAB_Knockout,srfAB,Knockout,-0.0138,0.0154,0.0293,211.3655,0.0293,0
sipS,srfAB_Knockout,srfAB,Knockout,0.0181,-0.0046,-0.0226,-125.2704,-0.0226,0
sipT,srfAB_Knockout,srfAB,Knockout,-0.0109,0.0058,0.0166,153.1975,0.0166,0
sipU,srfAB_Knockout,srfAB,Knockout,0.0093,-0.0200,-0.0294,-314.0088,-0.0294,0
sipV,srfAB_Knockout,srfAB,Knockout,0.0016,-0.0005,-0.0021,-132.5741,-0.0021,0
sipW,srfAB_Knockout,srfAB,Knockout,0.0062,0.0116,0.0055,88.5804,0.0055,0
prfA,srfAB_Knockout,srfAB,Knockout,0.0177,0.0141,-0.0036,-20.2600,-0.0036,0
prfB,srfAB_Knockout,srfAB,Knockout,0.0158,-0.0024,-0.0182,-115.3723,-0.0182,0
prfC,srfAB_Knockout,srfAB,Knockout,-0.0027,0.0218,0.0245,919.2599,0.0245,0
def,srfAB_Knockout,srfAB,Knockout,-0.0013,0.0054,0.0067,518.4946,0.0067,0
fmt,srfAB_Knockout,srfAB,Knockout,0.0046,-0.0036,-0.0081,-178.0774,-0.0081,0
map,srfAB_Knockout,srfAB,Knockout,0.0052,0.0077,0.0026,49.6225,0.0026,0
efp,srfAB_Knockout,srfAB,Knockout,-0.0065,-0.0174,-0.0109,-168.2179,-0.0109,0
efp2,srfAB_Knockout,srfAB,Knockout,-0.0144,-0.0021,0.0123,85.5917,0.0123,0
tycA,srfAB_Knockout,srfAB,Knockout,-0.0086,-0.0053,0.0033,38.7552,0.0033,0
spoVG,srfAB_Knockout,srfAB,Knockout,0.0001,-0.0093,-0.0094,-12191.2470,-0.0094,0
yhcN,srfAB_Knockout,srfAB,Knockout,-0.0183,-0.0032,0.0150,82.2884,0.0150,0
alsSD,srfAB_Knockout,srfAB,Knockout,0.0124,-0.0004,-0.0128,-102.9261,-0.0128,0
ichAA,srfAB_Knockout,srfAB,Knockout,-0.0169,-0.0107,0.0062,36.4114,0.0062,0
yjbC,srfAB_Knockout,srfAB,Knockout,0.0116,0.0126,0.0010,8.5290,0.0010,0
yjbD,srfAB_Knockout,srfAB,Knockout,0.0163,-0.0122,-0.0285,-174.5521,-0.0285,0
yjbE,srfAB_Knockout,srfAB,Knockout,0.0004,0.0122,0.0118,2654.4575,0.0118,0
yjbF,srfAB_Knockout,srfAB,Knockout,0.0176,-0.0048,-0.0224,-127.3943,-0.0224,0
ytrA,srfAB_Knockout,srfAB,Knockout,-0.0092,-0.0053,0.0039,41.9877,0.0039,0
ytrB,srfAB_Knockout,srfAB,Knockout,-0.0037,-0.0145,-0.0108,-290.6596,-0.0108,0
ytrC,srfAB_Knockout,srfAB,Knockout,-0.0080,-0.0058,0.0022,26.9367,0.0022,0
ytrD,srfAB_Knockout,srfAB,Knockout,0.0133,-0.0139,-0.0272,-204.0441,-0.0272,0
ytrE,srfAB_Knockout,srfAB,Knockout,-0.0078,0.0155,0.0233,297.8064,0.0233,0
yxkA,srfAB_Knockout,srfAB,Knockout,-0.0001,0.0114,0.0115,14113.1626,0.0115,0
yxkB,srfAB_Knockout,srfAB,Knockout,0.0042,0.0005,-0.0036,-87.3456,-0.0036,0
yxkC,srfAB_Knockout,srfAB,Knockout,0.0079,-0.0146,-0.0224,-285.7563,-0.0224,0
yxkD,srfAB_Knockout,srfAB,Knockout,-0.0082,0.0068,0.0150,183.2814,0.0150,0
yxkE,srfAB_Knockout,srfAB,Knockout,0.0084,-0.0001,-0.0085,-101.6336,-0.0085,0
ywbA,srfAB_Knockout,srfAB,Knockout,-0.0188,-0.0020,0.0168,89.3265,0.0168,0
ywbB,srfAB_Knockout,srfAB,Knockout,-0.0036,-0.0030,0.0006,16.4001,0.0006,0
ywbC,srfAB_Knockout,srfAB,Knockout,0.0132,-0.0010,-0.0142,-107.8236,-0.0142,0
ywbD,srfAB_Knockout,srfAB,Knockout,0.0259,0.0104,-0.0155,-59.7101,-0.0155,0
ywbE,srfAB_Knockout,srfAB,Knockout,0.0003,-0.0067,-0.0069,-2441.5390,-0.0069,0
yodA,srfAB_Knockout,srfAB,Knockout,-0.0093,-0.0021,0.0072,77.1027,0.0072,0
yodB,srfAB_Knockout,srfAB,Knockout,0.0116,0.0056,-0.0060,-51.9241,-0.0060,0
yodC,srfAB_Knockout,srfAB,Knockout,-0.0088,0.0005,0.0093,106.0233,0.0093,0
yodD,srfAB_Knockout,srfAB,Knockout,-0.0067,0.0057,0.0124,185.4831,0.0124,0
yodE,srfAB_Knockout,srfAB,Knockout,0.0105,0.0032,-0.0073,-69.4627,-0.0073,0
yceC,srfAB_Knockout,srfAB,Knockout,-0.0073,0.0024,0.0097,132.5048,0.0097,0
yceD,srfAB_Knockout,srfAB,Knockout,-0.0068,0.0109,0.0177,259.0590,0.0177,0
yceE,srfAB_Knockout,srfAB,Knockout,-0.0016,-0.0053,-0.0037,-226.2631,-0.0037,0
yceF,srfAB_Knockout,srfAB,Knockout,0.0011,0.0013,0.0002,19.1538,0.0002,0
yceG,srfAB_Knockout,srfAB,Knockout,-0.0042,-0.0113,-0.0071,-168.3431,-0.0071,0
yflA,srfAB_Knockout,srfAB,Knockout,-0.0011,-0.0142,-0.0132,-1219.0451,-0.0132,0
yflB,srfAB_Knockout,srfAB,Knockout,-0.0060,-0.0185,-0.0125,-210.2128,-0.0125,0
yflC,srfAB_Knockout,srfAB,Knockout,0.0115,0.0194,0.0079,68.7739,0.0079,0
yflD,srfAB_Knockout,srfAB,Knockout,0.0073,0.0062,-0.0011,-15.2343,-0.0011,0
yflE,srfAB_Knockout,srfAB,Knockout,0.0166,-0.0015,-0.0181,-109.3103,-0.0181,0
ytrF,srfAB_Knockout,srfAB,Knockout,-0.0026,0.0088,0.0114,440.8401,0.0114,0
ytrG,srfAB_Knockout,srfAB,Knockout,-0.0073,-0.0064,0.0008,11.1571,0.0008,0
ytrH,srfAB_Knockout,srfAB,Knockout,-0.0122,-0.0166,-0.0044,-36.3365,-0.0044,0
ytrI,srfAB_Knockout,srfAB,Knockout,-0.0180,0.0095,0.0275,152.7167,0.0275,0
ytrJ,srfAB_Knockout,srfAB,Knockout,-0.0044,-0.0137,-0.0093,-212.6974,-0.0093,0
yxiA,srfAB_Knockout,srfAB,Knockout,-0.0060,0.0102,0.0163,269.5132,0.0163,0
yxiB,srfAB_Knockout,srfAB,Knockout,-0.0089,-0.0036,0.0053,59.8815,0.0053,0
yxiC,srfAB_Knockout,srfAB,Knockout,0.0057,0.0099,0.0043,75.7840,0.0043,0
yxiD,srfAB_Knockout,srfAB,Knockout,0.0098,0.0005,-0.0094,-95.1937,-0.0094,0
yxiE,srfAB_Knockout,srfAB,Knockout,-0.0260,-0.0107,0.0152,58.6963,0.0152,0
ywnA,srfAB_Knockout,srfAB,Knockout,-0.0026,0.0050,0.0075,293.5873,0.0075,0
ywnB,srfAB_Knockout,srfAB,Knockout,-0.0061,0.0170,0.0231,381.0081,0.0231,0
