# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
comP,srfAA_Knockout,srfAA,Knockout,-0.0098,0.0160,0.0258,262.6449,0.0258,0
comQ,srfAA_Knockout,srfAA,Knockout,-0.0006,-0.0037,-0.0031,-508.2661,-0.0031,0
spo0A,srfAA_Knockout,srfAA,Knockout,0.0009,0.0035,0.0026,304.2679,0.0026,0
spo0F,srfAA_Knockout,srfAA,Knockout,-0.0218,0.0038,0.0255,117.3124,0.0255,0
spo0B,srfAA_Knockout,srfAA,Knockout,-0.0159,-0.0261,-0.0102,-63.7031,-0.0102,0
spo0E,srfAA_Knockout,srfAA,Knockout,-0.0011,0.0042,0.0054,471.6061,0.0054,0
abrB,srfAA_Knockout,srfAA,Knockout,-0.0014,0.0002,0.0016,116.7613,0.0016,0
abnB,srfAA_Knockout,srfAA,Knockout,0.0120,0.0148,0.0028,23.5048,0.0028,0
sigH,srfAA_Knockout,srfAA,Knockout,0.0133,-0.0102,-0.0235,-176.7544,-0.0235,0
sigA,srfAA_Knockout,srfAA,Knockout,-0.0109,0.0067,0.0176,160.9004,0.0176,0
sigB,srfAA_Knockout,srfAA,Knockout,-0.0106,-0.0191,-0.0085,-79.9550,-0.0085,0
sigE,srfAA_Knockout,srfAA,Knockout,0.0001,0.0016,0.0015,1250.2120,0.0015,0
sigF,srfAA_Knockout,srfAA,Knockout,-0.0065,-0.0037,0.0028,42.9037,0.0028,0
sigG,srfAA_Knockout,srfAA,Knockout,-0.0025,0.0142,0.0167,680.1596,0.0167,0
degU,srfAA_Knockout,srfAA,Knockout,0.0098,-0.0112,-0.0209,-214.6303,-0.0209,0
degQ,srfAA_Knockout,srfAA,Knockout,0.0065,-0.0127,-0.0192,-293.9902,-0.0192,0
phrC,srfAA_Knockout,srfAA,Knockout,-0.0004,0.0039,0.0043,1119.1267,0.0043,0
sinI,srfAA_Knockout,srfAA,Knockout,0.0022,-0.0000,-0.0022,-100.0397,-0.0022,0
sinR,srfAA_Knockout,srfAA,Knockout,0.0091,0.0003,-0.0089,-96.9460,-0.0089,0
slrA,srfAA_Knockout,srfAA,Knockout,0.0045,-0.0085,-0.0130,-289.5468,-0.0130,0
spx,srfAA_Knockout,srfAA,Knockout,-0.0086,0.0026,0.0112,130.1249,0.0112,0
clpX,srfAA_Knockout,srfAA,Knockout,0.0012,-0.0043,-0.0055,-458.0512,-0.0055,0
clpP,srfAA_Knockout,srfAA,Knockout,-0.0050,-0.0128,-0.0078,-155.2995,-0.0078,0
codY,srfAA_Knockout,srfAA,Knockout,0.0014,-0.0058,-0.0071,-515.0954,-0.0071,0
ccpA,srfAA_Knockout,srfAA,Knockout,0.0069,0.0080,0.0011,15.6099,0.0011,0
lutR,srfAA_Knockout,srfAA,Knockout,-0.0069,-0.0102,-0.0033,-48.2310,-0.0033,0
lutP,srfAA_Knockout,srfAA,Knockout,0.0151,0.0003,-0.0148,-97.8522,-0.0148,0
alsR,srfAA_Knockout,srfAA,Knockout,0.0023,-0.0009,-0.0033,-140.3515,-0.0033,0
alsS,srfAA_Knockout,srfAA,Knockout,-0.0023,-0.0062,-0.0039,-174.0072,-0.0039,0
rocR,srfAA_Knockout,srfAA,Knockout,-0.0104,-0.0006,0.0098,94.0782,0.0098,0
rocD,srfAA_Knockout,srfAA,Knockout,-0.0080,-0.0013,0.0067,83.7571,0.0067,0
glnR,srfAA_Knockout,srfAA,Knockout,0.0015,0.0005,-0.0010,-68.9883,-0.0010,0
fur,srfAA_Knockout,srfAA,Knockout,-0.0054,-0.0097,-0.0043,-79.8512,-0.0043,0
perR,srfAA_Knockout,srfAA,Knockout,0.0053,-0.0011,-0.0064,-120.2586,-0.0064,0
catR,srfAA_Knockout,srfAA,Knockout,-0.0004,-0.0075,-0.0070,-1630.3189,-0.0070,0
katA,srfAA_Knockout,srfAA,Knockout,-0.0113,-0.0054,0.0059,52.4598,0.0059,0
katB,srfAA_Knockout,srfAA,Knockout,0.0195,-0.0158,-0.0353,-181.0109,-0.0353,0
katE,srfAA_Knockout,srfAA,Knockout,0.0075,-0.0071,-0.0146,-195.0138,-0.0146,0
ahpC,srfAA_Knockout,srfAA,Knockout,0.0151,0.0000,-0.0151,-99.9587,-0.0151,0
ahpD,srfAA_Knockout,srfAA,Knockout,0.0166,-0.0127,-0.0294,-176.4132,-0.0294,0
ahpF,srfAA_Knockout,srfAA,Knockout,0.0018,0.0059,0.0041,226.9552,0.0041,0
msaAB,srfAA_Knockout,srfAA,Knockout,0.0032,0.0037,0.0004,13.5249,0.0004,0
msaB,srfAA_Knockout,srfAA,Knockout,0.0094,0.0034,-0.0060,-63.3221,-0.0060,0
trxA,srfAA_Knockout,srfAA,Knockout,-0.0097,-0.0150,-0.0052,-53.8359,-0.0052,0
trxB,srfAA_Knockout,srfAA,Knockout,0.0191,0.0141,-0.0050,-26.1220,-0.0050,0
trxC,srfAA_Knockout,srfAA,Knockout,-0.0007,0.0018,0.0025,367.1120,0.0025,0
gor,srfAA_Knockout,srfAA,Knockout,0.0156,-0.0012,-0.0168,-107.4574,-0.0168,0
tpx,srfAA_Knockout,srfAA,Knockout,0.0094,-0.0036,-0.0130,-137.8738,-0.0130,0
bcp,srfAA_Knockout,srfAA,Knockout,0.0046,0.0065,0.0019,42.4262,0.0019,0
sodA,srfAA_Knockout,srfAA,Knockout,-0.0109,0.0153,0.0262,239.8753,0.0262,0
sodF,srfAA_Knockout,srfAA,Knockout,0.0002,-0.0026,-0.0028,-1141.7839,-0.0028,0
mntA,srfAA_Knockout,srfAA,Knockout,-0.0025,0.0024,0.0048,194.1355,0.0048,0
mntB,srfAA_Knockout,srfAA,Knockout,0.0091,-0.0014,-0.0104,-115.1877,-0.0104,0
mntC,srfAA_Knockout,srfAA,Knockout,-0.0072,0.0070,0.0142,197.1956,0.0142,0
zur,srfAA_Knockout,srfAA,Knockout,-0.0030,0.0085,0.0115,377.5641,0.0115,0
znuA,srfAA_Knockout,srfAA,Knockout,0.0135,-0.0053,-0.0188,-139.4360,-0.0188,0
znuB,srfAA_Knockout,srfAA,Knockout,-0.0081,-0.0130,-0.0049,-60.9511,-0.0049,0
znuC,srfAA_Knockout,srfAA,Knockout,-0.0018,-0.0043,-0.0025,-135.7644,-0.0025,0
ilvA,srfAA_Knockout,srfAA,Knockout,-0.0224,-0.0008,0.0216,96.4498,0.0216,0
ilvB,srfAA_Knockout,srfAA,Knockout,0.0004,-0.0113,-0.0117,-3125.8056,-0.0117,0
ilvC,srfAA_Knockout,srfAA,Knockout,-0.0012,-0.0076,-0.0065,-545.5975,-0.0065,0
ilvD,srfAA_Knockout,srfAA,Knockout,0.0045,0.0014,-0.0032,-70.1003,-0.0032,0
ilvE,srfAA_Knockout,srfAA,Knockout,0.0005,-0.0185,-0.0190,-3911.1259,-0.0190,0
leuA,srfAA_Knockout,srfAA,Knockout,0.0100,-0.0104,-0.0204,-203.4768,-0.0204,0
leuB,srfAA_Knockout,srfAA,Knockout,-0.0050,-0.0135,-0.0085,-171.7625,-0.0085,0
leuC,srfAA_Knockout,srfAA,Knockout,0.0017,-0.0122,-0.0139,-834.3068,-0.0139,0
leuD,srfAA_Knockout,srfAA,Knockout,-0.0035,-0.0039,-0.0005,-13.2239,-0.0005,0
valS,srfAA_Knockout,srfAA,Knockout,0.0025,-0.0178,-0.0203,-825.8843,-0.0203,0
valT,srfAA_Knockout,srfAA,Knockout,-0.0091,-0.0040,0.0051,55.6411,0.0051,0
valU,srfAA_Knockout,srfAA,Knockout,-0.0006,-0.0216,-0.0210,-3315.2966,-0.0210,0
thrA,srfAA_Knockout,srfAA,Knockout,0.0056,-0.0040,-0.0096,-171.0881,-0.0096,0
thrB,srfAA_Knockout,srfAA,Knockout,0.0061,0.0060,-0.0001,-2.1708,-0.0001,0
thrC,srfAA_Knockout,srfAA,Knockout,-0.0120,-0.0087,0.0034,27.9521,0.0034,0
lysA,srfAA_Knockout,srfAA,Knockout,-0.0064,-0.0027,0.0037,58.2722,0.0037,0
lysC,srfAA_Knockout,srfAA,Knockout,0.0119,0.0012,-0.0107,-90.0584,-0.0107,0
dapA,srfAA_Knockout,srfAA,Knockout,0.0002,-0.0049,-0.0051,-2209.6688,-0.0051,0
dapB,srfAA_Knockout,srfAA,Knockout,-0.0086,0.0036,0.0122,142.0502,0.0122,0
argA,srfAA_Knockout,srfAA,Knockout,-0.0047,-0.0051,-0.0005,-9.8015,-0.0005,0
argB,srfAA_Knockout,srfAA,Knockout,-0.0112,-0.0123,-0.0010,-9.2591,-0.0010,0
argC,srfAA_Knockout,srfAA,Knockout,0.0001,-0.0087,-0.0088,-8955.0498,-0.0088,0
argD,srfAA_Knockout,srfAA,Knockout,-0.0112,-0.0021,0.0091,81.5315,0.0091,0
argE,srfAA_Knockout,srfAA,Knockout,0.0004,-0.0107,-0.0111,-2886.9201,-0.0111,0
argF,srfAA_Knockout,srfAA,Knockout,-0.0077,-0.0087,-0.0009,-12.0077,-0.0009,0
argG,srfAA_Knockout,srfAA,Knockout,-0.0042,-0.0217,-0.0176,-422.6659,-0.0176,0
argH,srfAA_Knockout,srfAA,Knockout,-0.0072,-0.0096,-0.0024,-33.6700,-0.0024,0
hisA,srfAA_Knockout,srfAA,Knockout,0.0046,-0.0017,-0.0063,-136.6488,-0.0063,0
hisB,srfAA_Knockout,srfAA,Knockout,0.0026,-0.0017,-0.0044,-165.8211,-0.0044,0
hisC,srfAA_Knockout,srfAA,Knockout,-0.0034,0.0064,0.0098,287.6782,0.0098,0
hisD,srfAA_Knockout,srfAA,Knockout,-0.0107,-0.0047,0.0060,56.3347,0.0060,0
hisE,srfAA_Knockout,srfAA,Knockout,-0.0058,-0.0006,0.0052,89.6412,0.0052,0
hisF,srfAA_Knockout,srfAA,Knockout,-0.0064,-0.0054,0.0009,14.5611,0.0009,0
hisG,srfAA_Knockout,srfAA,Knockout,-0.0013,-0.0275,-0.0262,-2019.0436,-0.0262,0
trpA,srfAA_Knockout,srfAA,Knockout,-0.0008,-0.0061,-0.0053,-645.4792,-0.0053,0
