# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
sucB,138.9795,138.9795,138.9795,138.9795,138.9795,138.9795
sucC,-302.6387,-302.6387,-302.6387,-302.6387,-302.6387,-302.6387
sucD,415.1510,415.1510,415.1510,415.1510,415.1510,415.1510
tagA,78.7016,78.7016,78.7016,78.7016,78.7016,78.7016
tagB,50.4226,50.4226,50.4226,50.4226,50.4226,50.4226
tagC,83.9839,83.9839,83.9839,83.9839,83.9839,83.9839
tagD,29.9425,29.9425,29.9425,29.9425,29.9425,29.9425
tagE,68.7515,68.7515,68.7515,68.7515,68.7515,68.7515
tagF,67.7262,67.7262,67.7262,67.7262,67.7262,67.7262
tagO,23.8273,23.8273,23.8273,23.8273,23.8273,23.8273
tatA,214.4289,214.4289,214.4289,214.4289,214.4289,214.4289
tatB,-661.8362,-661.8362,-661.8362,-661.8362,-661.8362,-661.8362
tatC,211.3655,211.3655,211.3655,211.3655,211.3655,211.3655
thrA,-171.0881,-171.0881,-171.0881,-171.0881,-171.0881,-171.0881
thrB,-2.1708,-2.1708,-2.1708,-2.1708,-2.1708,-2.1708
thrC,27.9521,27.9521,27.9521,27.9521,27.9521,27.9521
topA,138.9935,138.9935,138.9935,138.9935,138.9935,138.9935
topB,566.0272,566.0272,566.0272,566.0272,566.0272,566.0272
tpx,-137.8738,-137.8738,-137.8738,-137.8738,-137.8738,-137.8738
trpA,-645.4792,-645.4792,-645.4792,-645.4792,-645.4792,-645.4792
trpB,-312.3146,-312.3146,-312.3146,-312.3146,-312.3146,-312.3146
trpC,-151.6750,-151.6750,-151.6750,-151.6750,-151.6750,-151.6750
trpD,-69.9740,-69.9740,-69.9740,-69.9740,-69.9740,-69.9740
trpE,-365.7952,-365.7952,-365.7952,-365.7952,-365.7952,-365.7952
trpF,-3528.9883,-3528.9883,-3528.9883,-3528.9883,-3528.9883,-3528.9883
trxA,-53.8359,-53.8359,-53.8359,-53.8359,-53.8359,-53.8359
trxB,-26.1220,-26.1220,-26.1220,-26.1220,-26.1220,-26.1220
trxC,367.1120,367.1120,367.1120,367.1120,367.1120,367.1120
tsf,807.6520,807.6520,807.6520,807.6520,807.6520,807.6520
tufA,-576.0448,-576.0448,-576.0448,-576.0448,-576.0448,-576.0448
tufB,167.0970,167.0970,167.0970,167.0970,167.0970,167.0970
tycA,38.7552,38.7552,38.7552,38.7552,38.7552,38.7552
tyrA,-1795.4685,-1795.4685,-1795.4685,-1795.4685,-1795.4685,-1795.4685
uvrA,-57.4242,-57.4242,-57.4242,-57.4242,-57.4242,-57.4242
uvrB,777.7699,777.7699,777.7699,777.7699,777.7699,777.7699
uvrC,549.7720,549.7720,549.7720,549.7720,549.7720,549.7720
valS,-825.8843,-825.8843,-825.8843,-825.8843,-825.8843,-825.8843
valT,55.6411,55.6411,55.6411,55.6411,55.6411,55.6411
valU,-3315.2966,-3315.2966,-3315.2966,-3315.2966,-3315.2966,-3315.2966
yceC,132.5048,132.5048,132.5048,132.5048,132.5048,132.5048
yceD,259.0590,259.0590,259.0590,259.0590,259.0590,259.0590
yceE,-226.2631,-226.2631,-226.2631,-226.2631,-226.2631,-226.2631
yceF,19.1538,19.1538,19.1538,19.1538,19.1538,19.1538
yceG,-168.3431,-168.3431,-168.3431,-168.3431,-168.3431,-168.3431
ycxC,-209.3136,-209.3136,-209.3136,-209.3136,-209.3136,-209.3136
ycxD,-288.0526,-288.0526,-288.0526,-288.0526,-288.0526,-288.0526
yflA,-1219.0451,-1219.0451,-1219.0451,-1219.0451,-1219.0451,-1219.0451
yflB,-210.2128,-210.2128,-210.2128,-210.2128,-210.2128,-210.2128
yflC,68.7739,68.7739,68.7739,68.7739,68.7739,68.7739
yflD,-15.2343,-15.2343,-15.2343,-15.2343,-15.2343,-15.2343
yflE,-109.3103,-109.3103,-109.3103,-109.3103,-109.3103,-109.3103
yhcN,82.2884,82.2884,82.2884,82.2884,82.2884,82.2884
yjbC,8.5290,8.5290,8.5290,8.5290,8.5290,8.5290
yjbD,-174.5521,-174.5521,-174.5521,-174.5521,-174.5521,-174.5521
yjbE,2654.4575,2654.4575,2654.4575,2654.4575,2654.4575,2654.4575
yjbF,-127.3943,-127.3943,-127.3943,-127.3943,-127.3943,-127.3943
yoaA,-11496.5904,-11496.5904,-11496.5904,-11496.5904,-11496.5904,-11496.5904
yoaB,-344.1665,-344.1665,-344.1665,-344.1665,-344.1665,-344.1665
yoaC,114.7682,114.7682,114.7682,114.7682,114.7682,114.7682
yoaD,36.0069,36.0069,36.0069,36.0069,36.0069,36.0069
yoaE,62.0500,62.0500,62.0500,62.0500,62.0500,62.0500
yodA,77.1027,77.1027,77.1027,77.1027,77.1027,77.1027
yodB,-51.9241,-51.9241,-51.9241,-51.9241,-51.9241,-51.9241
yodC,106.0233,106.0233,106.0233,106.0233,106.0233,106.0233
yodD,185.4831,185.4831,185.4831,185.4831,185.4831,185.4831
yodE,-69.4627,-69.4627,-69.4627,-69.4627,-69.4627,-69.4627
yorM,163.7184,163.7184,163.7184,163.7184,163.7184,163.7184
yqeA,-170.7196,-170.7196,-170.7196,-170.7196,-170.7196,-170.7196
yqeB,-183.3457,-183.3457,-183.3457,-183.3457,-183.3457,-183.3457
yqeC,-1079.4700,-1079.4700,-1079.4700,-1079.4700,-1079.4700,-1079.4700
yqeD,143.9346,143.9346,143.9346,143.9346,143.9346,143.9346
yqeE,117.2816,117.2816,117.2816,117.2816,117.2816,117.2816
ytrA,41.9877,41.9877,41.9877,41.9877,41.9877,41.9877
ytrB,-290.6596,-290.6596,-290.6596,-290.6596,-290.6596,-290.6596
ytrC,26.9367,26.9367,26.9367,26.9367,26.9367,26.9367
ytrD,-204.0441,-204.0441,-204.0441,-204.0441,-204.0441,-204.0441
ytrE,297.8064,297.8064,297.8064,297.8064,297.8064,297.8064
ytrF,440.8401,440.8401,440.8401,440.8401,440.8401,440.8401
ytrG,11.1571,11.1571,11.1571,11.1571,11.1571,11.1571
ytrH,-36.3365,-36.3365,-36.3365,-36.3365,-36.3365,-36.3365
ytrI,152.7167,152.7167,152.7167,152.7167,152.7167,152.7167
ytrJ,-212.6974,-212.6974,-212.6974,-212.6974,-212.6974,-212.6974
yvaA,1377.5987,1377.5987,1377.5987,1377.5987,1377.5987,1377.5987
yvaB,3234.5771,3234.5771,3234.5771,3234.5771,3234.5771,3234.5771
yvaC,-72.4195,-72.4195,-72.4195,-72.4195,-72.4195,-72.4195
yvaD,-43.8811,-43.8811,-43.8811,-43.8811,-43.8811,-43.8811
yvaE,97.7001,97.7001,97.7001,97.7001,97.7001,97.7001
yvbA,210.5958,210.5958,210.5958,210.5958,210.5958,210.5958
yvbB,-112.8420,-112.8420,-112.8420,-112.8420,-112.8420,-112.8420
yvbC,472.3919,472.3919,472.3919,472.3919,472.3919,472.3919
yvbD,108.8555,108.8555,108.8555,108.8555,108.8555,108.8555
yvbE,9.0356,9.0356,9.0356,9.0356,9.0356,9.0356
yvcA,-39.2347,-39.2347,-39.2347,-39.2347,-39.2347,-39.2347
yvcB,868.3500,868.3500,868.3500,868.3500,868.3500,868.3500
yvcC,131.3918,131.3918,131.3918,131.3918,131.3918,131.3918
yvcD,112.2021,112.2021,112.2021,112.2021,112.2021,112.2021
yvcE,285.0464,285.0464,285.0464,285.0464,285.0464,285.0464
yvdA,-44.7740,-44.7740,-44.7740,-44.7740,-44.7740,-44.7740
yvdB,5.8466,5.8466,5.8466,5.8466,5.8466,5.8466
yvdC,326.3769,326.3769,326.3769,326.3769,326.3769,326.3769
yvdD,-60.8953,-60.8953,-60.8953,-60.8953,-60.8953,-60.8953
yvdE,-387.9134,-387.9134,-387.9134,-387.9134,-387.9134,-387.9134
yveA,-312.6112,-312.6112,-312.6112,-312.6112,-312.6112,-312.6112
yveB,236.6172,236.6172,236.6172,236.6172,236.6172,236.6172
yveC,200.9087,200.9087,200.9087,200.9087,200.9087,200.9087
yveD,107.2425,107.2425,107.2425,107.2425,107.2425,107.2425
yveE,279.8621,279.8621,279.8621,279.8621,279.8621,279.8621
yvfA,115.6667,115.6667,115.6667,115.6667,115.6667,115.6667
yvfB,-157.8153,-157.8153,-157.8153,-157.8153,-157.8153,-157.8153
yvfC,38.2540,38.2540,38.2540,38.2540,38.2540,38.2540
yvfD,-6664.9944,-6664.9944,-6664.9944,-6664.9944,-6664.9944,-6664.9944
yvfE,-200.0049,-200.0049,-200.0049,-200.0049,-200.0049,-200.0049
yvgA,17633.5004,17633.5004,17633.5004,17633.5004,17633.5004,17633.5004
yvgB,-336.9270,-336.9270,-336.9270,-336.9270,-336.9270,-336.9270
yvgC,21.1197,21.1197,21.1197,21.1197,21.1197,21.1197
yvgD,-82.0085,-82.0085,-82.0085,-82.0085,-82.0085,-82.0085
yvgE,-163.5212,-163.5212,-163.5212,-163.5212,-163.5212,-163.5212
yvhA,227.9621,227.9621,227.9621,227.9621,227.9621,227.9621
yvhB,65.4048,65.4048,65.4048,65.4048,65.4048,65.4048
yvhC,-452.0202,-452.0202,-452.0202,-452.0202,-452.0202,-452.0202
yvhD,-5600.4495,-5600.4495,-5600.4495,-5600.4495,-5600.4495,-5600.4495
yvhE,165.3642,165.3642,165.3642,165.3642,165.3642,165.3642
ywbA,89.3265,89.3265,89.3265,89.3265,89.3265,89.3265
ywbB,16.4001,16.4001,16.4001,16.4001,16.4001,16.4001
ywbC,-107.8236,-107.8236,-107.8236,-107.8236,-107.8236,-107.8236
ywbD,-59.7101,-59.7101,-59.7101,-59.7101,-59.7101,-59.7101
ywbE,-2441.5390,-2441.5390,-2441.5390,-2441.5390,-2441.5390,-2441.5390
ywnA,293.5873,293.5873,293.5873,293.5873,293.5873,293.5873
ywnB,381.0081,381.0081,381.0081,381.0081,381.0081,381.0081
ywnC,185.2000,185.2000,185.2000,185.2000,185.2000,185.2000
ywnD,197.6512,197.6512,197.6512,197.6512,197.6512,197.6512
ywnE,98.1554,98.1554,98.1554,98.1554,98.1554,98.1554
yxiA,269.5132,269.5132,269.5132,269.5132,269.5132,269.5132
yxiB,59.8815,59.8815,59.8815,59.8815,59.8815,59.8815
yxiC,75.7840,75.7840,75.7840,75.7840,75.7840,75.7840
yxiD,-95.1937,-95.1937,-95.1937,-95.1937,-95.1937,-95.1937
yxiE,58.6963,58.6963,58.6963,58.6963,58.6963,58.6963
yxkA,14113.1626,14113.1626,14113.1626,14113.1626,14113.1626,14113.1626
yxkB,-87.3456,-87.3456,-87.3456,-87.3456,-87.3456,-87.3456
yxkC,-285.7563,-285.7563,-285.7563,-285.7563,-285.7563,-285.7563
yxkD,183.2814,183.2814,183.2814,183.2814,183.2814,183.2814
yxkE,-101.6336,-101.6336,-101.6336,-101.6336,-101.6336,-101.6336
znuA,-139.4360,-139.4360,-139.4360,-139.4360,-139.4360,-139.4360
znuB,-60.9511,-60.9511,-60.9511,-60.9511,-60.9511,-60.9511
znuC,-135.7644,-135.7644,-135.7644,-135.7644,-135.7644,-135.7644
zur,377.5641,377.5641,377.5641,377.5641,377.5641,377.5641
