# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
dat,90.1928,90.1928,90.1928,90.1928,90.1928,90.1928
dctA,1254.2574,1254.2574,1254.2574,1254.2574,1254.2574,1254.2574
dctB,-50.5739,-50.5739,-50.5739,-50.5739,-50.5739,-50.5739
dctP,-269.5390,-269.5390,-269.5390,-269.5390,-269.5390,-269.5390
ddlA,57.6943,57.6943,57.6943,57.6943,57.6943,57.6943
ddlB,64.7662,64.7662,64.7662,64.7662,64.7662,64.7662
def,518.4946,518.4946,518.4946,518.4946,518.4946,518.4946
degQ,-293.9902,-293.9902,-293.9902,-293.9902,-293.9902,-293.9902
degU,-214.6303,-214.6303,-214.6303,-214.6303,-214.6303,-214.6303
dh1,-296.4046,-296.4046,-296.4046,-296.4046,-296.4046,-296.4046
dh2,-391.4355,-391.4355,-391.4355,-391.4355,-391.4355,-391.4355
dhbA,-312.2602,-312.2602,-312.2602,-312.2602,-312.2602,-312.2602
dhbB,-213.5129,-213.5129,-213.5129,-213.5129,-213.5129,-213.5129
dhbC,-250.4999,-250.4999,-250.4999,-250.4999,-250.4999,-250.4999
dhbD,-296.4512,-296.4512,-296.4512,-296.4512,-296.4512,-296.4512
dhbE,-345.9296,-345.9296,-345.9296,-345.9296,-345.9296,-345.9296
dhbF,-237.1515,-237.1515,-237.1515,-237.1515,-237.1515,-237.1515
dltA,79.4456,79.4456,79.4456,79.4456,79.4456,79.4456
dltB,59.4004,59.4004,59.4004,59.4004,59.4004,59.4004
dltC,18.5956,18.5956,18.5956,18.5956,18.5956,18.5956
dltD,59.5502,59.5502,59.5502,59.5502,59.5502,59.5502
dltE,12.4758,12.4758,12.4758,12.4758,12.4758,12.4758
dnaA,-115.2849,-115.2849,-115.2849,-115.2849,-115.2849,-115.2849
dnaB,-138.5482,-138.5482,-138.5482,-138.5482,-138.5482,-138.5482
dnaC,-103.5483,-103.5483,-103.5483,-103.5483,-103.5483,-103.5483
dnaD,107.4166,107.4166,107.4166,107.4166,107.4166,107.4166
dnaE,2154.8218,2154.8218,2154.8218,2154.8218,2154.8218,2154.8218
dnaF,104.2650,104.2650,104.2650,104.2650,104.2650,104.2650
dnaJ,16.6139,16.6139,16.6139,16.6139,16.6139,16.6139
dnaK,-2442.3057,-2442.3057,-2442.3057,-2442.3057,-2442.3057,-2442.3057
dppA,-369.4989,-369.4989,-369.4989,-369.4989,-369.4989,-369.4989
dppB,-3.8126,-3.8126,-3.8126,-3.8126,-3.8126,-3.8126
dppC,-144.8672,-144.8672,-144.8672,-144.8672,-144.8672,-144.8672
dppD,-326.9225,-326.9225,-326.9225,-326.9225,-326.9225,-326.9225
dppE,-123.0653,-123.0653,-123.0653,-123.0653,-123.0653,-123.0653
