# Z-Score comparison matrix: rows=genes, columns=intervention conditions
# Metric: ZScore
# Genes: 495, Conditions: 80
Gene,srfAA_Knockout,srfAB_Knockout,srfAC_Knockout,srfAD_Knockout,sfp_Knockout,comS_Knockout,ycxC_Knockout,ycxD_Knockout,fenA_Knockout,fenB_Knockout,fenC_Knockout,fenD_Knockout,fenE_Knockout,fgnZ_Knockout,dhbA_Knockout,dhbB_Knockout,dhbC_Knockout,dhbD_Knockout,dhbE_Knockout,dhbF_Knockout,ituA_Knockout,ituB_Knockout,ituC_Knockout,ituD_Knockout,bacA_Knockout,bacB_Knockout,bacC_Knockout,bacD_Knockout,bacE_Knockout,mycA_Knockout,mycB_Knockout,mycC_Knockout,srfA_Knockout,comA_Overexpression,comS_Overexpression,comK_Overexpression,comP_Overexpression,comQ_Overexpression,sigH_Overexpression,spo0A_Overexpression,spo0F_Overexpression,spo0B_Overexpression,spo0E_Overexpression,abrB_Overexpression,degU_Overexpression,sinI_Overexpression,sinR_Overexpression,slrA_Overexpression,srfAA_Overexpression,srfAB_Overexpression,srfAC_Overexpression,srfAD_Overexpression,sfp_Overexpression,gltA_Knockdown,acnA_Knockdown,acnB_Knockdown,icd_Knockdown,sucC_Knockdown,sucD_Knockdown,sucA_Knockdown,sucB_Knockdown,lpd_Knockdown,sdhA_Knockdown,sdhB_Knockdown,sdhC_Knockdown,sdhD_Knockdown,fumA_Knockdown,fumB_Knockdown,fumC_Knockdown,mdh_Knockdown,ctaA_Knockdown,ctaB_Knockdown,ctaC_Knockdown,ctaD_Knockdown,ctaE_Knockdown,ctaF_Knockdown,atpA_Knockdown,atpB_Knockdown,atpC_Knockdown,atpD_Knockdown
dnaJ,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
dnaK,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222,-0.0222
dppA,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
dppB,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
dppC,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071
dppD,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248,-0.0248
dppE,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230,-0.0230
dppF,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
efp,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109
efp2,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
fenA,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179
fenB,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173,-0.0173
fenC,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143
fenD,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171,-0.0171
fenE,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179,-0.0179
feuA,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099
feuB,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
feuC,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
feuD,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288
fgnZ,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164
fhuB,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159
fhuC,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
fhuD,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
fhuG,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119,-0.0119
fmt,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081
ftsA,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
ftsE,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
ftsX,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201
