# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
tatA,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
tatB,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
tatC,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
thrA,0.0097,0.0097,0.0097,0.0097,0.0097,0.0097
thrB,-0.0195,-0.0195,-0.0195,-0.0195,-0.0195,-0.0195
thrC,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
topA,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128
topB,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
tpx,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
trpA,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
trpB,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
trpC,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
trpD,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092
trpE,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
trpF,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032
trxA,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
trxB,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024,-0.0024
trxC,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
tsf,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039
tufA,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
tufB,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
tycA,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116
tyrA,-0.0136,-0.0136,-0.0136,-0.0136,-0.0136,-0.0136
uvrA,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
uvrB,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
uvrC,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
valS,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018
valT,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
valU,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
yceC,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
yceD,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
yceE,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163
yceF,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
yceG,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
ycxC,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113
ycxD,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
yflA,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
yflB,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
yflC,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
yflD,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092
yflE,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161
yhcN,0.0134,0.0134,0.0134,0.0134,0.0134,0.0134
yjbC,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188
yjbD,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038
yjbE,-0.0187,-0.0187,-0.0187,-0.0187,-0.0187,-0.0187
yjbF,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
yoaA,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
yoaB,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
yoaC,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
yoaD,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
yoaE,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
yodA,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117
yodB,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
yodC,-0.0121,-0.0121,-0.0121,-0.0121,-0.0121,-0.0121
yodD,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159
yodE,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160
yorM,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148
yqeA,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039
yqeB,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
yqeC,-0.0240,-0.0240,-0.0240,-0.0240,-0.0240,-0.0240
yqeD,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
yqeE,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054
ytrA,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
ytrB,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
ytrC,0.0085,0.0085,0.0085,0.0085,0.0085,0.0085
ytrD,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121
ytrE,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
ytrF,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076
ytrG,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
ytrH,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088
ytrI,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088,-0.0088
ytrJ,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030
yvaA,0.0150,0.0150,0.0150,0.0150,0.0150,0.0150
yvaB,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017
yvaC,-0.0066,-0.0066,-0.0066,-0.0066,-0.0066,-0.0066
yvaD,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
yvaE,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
yvbA,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033
yvbB,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
yvbC,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
yvbD,-0.0020,-0.0020,-0.0020,-0.0020,-0.0020,-0.0020
yvbE,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
yvcA,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164
yvcB,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
yvcC,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
yvcD,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084,-0.0084
yvcE,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108
yvdA,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164,-0.0164
yvdB,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
yvdC,-0.0247,-0.0247,-0.0247,-0.0247,-0.0247,-0.0247
yvdD,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161
yvdE,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
yveA,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
yveB,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165
yveC,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069
yveD,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132
yveE,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
yvfA,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225,-0.0225
yvfB,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017
yvfC,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
yvfD,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
yvfE,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
yvgA,-0.0232,-0.0232,-0.0232,-0.0232,-0.0232,-0.0232
yvgB,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
yvgC,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019
yvgD,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010
yvgE,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
yvhA,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044
yvhB,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
yvhC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
yvhD,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152
yvhE,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127
ywbA,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092
ywbB,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
ywbC,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
ywbD,-0.0250,-0.0250,-0.0250,-0.0250,-0.0250,-0.0250
ywbE,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026,-0.0026
ywnA,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078
ywnB,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
ywnC,0.0110,0.0110,0.0110,0.0110,0.0110,0.0110
ywnD,-0.0243,-0.0243,-0.0243,-0.0243,-0.0243,-0.0243
ywnE,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017
yxiA,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
yxiB,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031
yxiC,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
yxiD,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
yxiE,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
yxkA,-0.0166,-0.0166,-0.0166,-0.0166,-0.0166,-0.0166
yxkB,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
yxkC,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107,-0.0107
yxkD,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052
yxkE,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
znuA,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
znuB,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041
znuC,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057
zur,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049
