# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
ddlA,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154
ddlB,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
def,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
degQ,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172
degU,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022
dh1,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
dh2,0.0034,0.0034,0.0034,0.0034,0.0034,0.0034
dhbA,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016
dhbB,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127
dhbC,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
dhbD,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
dhbE,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127
dhbF,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
dltA,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155
dltB,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
dltC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
dltD,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146
dltE,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
dnaA,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010
dnaB,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089
dnaC,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
dnaD,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183
dnaE,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091
dnaF,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
dnaJ,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103
dnaK,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092,-0.0092
dppA,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060
dppB,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
dppC,-0.0176,-0.0176,-0.0176,-0.0176,-0.0176,-0.0176
dppD,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
dppE,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
dppF,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
efp,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034
efp2,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
fenA,-0.0261,-0.0261,-0.0261,-0.0261,-0.0261,-0.0261
fenB,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
fenC,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148
fenD,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
fenE,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067
feuA,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010
feuB,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
feuC,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
feuD,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048,-0.0048
fgnZ,-0.0191,-0.0191,-0.0191,-0.0191,-0.0191,-0.0191
fhuB,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
fhuC,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
fhuD,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
fhuG,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064,-0.0064
fmt,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
ftsA,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010,-0.0010
ftsE,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
ftsX,0.0077,0.0077,0.0077,0.0077,0.0077,0.0077
ftsY,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116,-0.0116
ftsZ,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038,-0.0038
fumA,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
fumB,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
fumC,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013
fur,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
fusA,0.0199,0.0199,0.0199,0.0199,0.0199,0.0199
glmM,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
glmS,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005
glmU,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141
glnA,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
glnH,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037,-0.0037
glnP,-0.0094,-0.0094,-0.0094,-0.0094,-0.0094,-0.0094
glnQ,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
glnR,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096
gltA,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
gltB,0.0086,0.0086,0.0086,0.0086,0.0086,0.0086
gltC,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
gltP,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060
