geneID,C6,C9,I56,I59,I86,I89
"AT5G55410",5.041276853853251,4.974160643602603,7.064593307971806,4.748231416871857,20.269496583959324,4.697275109911348
"AT5G55430",5.041276853853251,6.203367624160875,5.812291881069308,5.908738452608232,6.136409373961655,5.83496726042711
"AT5G55440",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"AT5G55450",27.55875173892141,7.444734291400225,9.42162229367718,14.05290136915266,55.83753544814553,4.697275109911348
"AT5G08275",41.952703550633835,52.35639316253416,46.79562874023889,51.778669932309825,31.768746022123537,50.86440982887535
"AT5G55460",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,10.90684518952872,4.697275109911348
"AT5G08285",23.063065665507555,29.550115211961625,23.550272420749497,18.95169833470782,7.308351907150129,26.434457674678416
"AT5G55470",258.5019074770737,281.41856843383357,233.56391781992198,319.75695131559837,190.78777407124238,239.87311448095983
"AT5G55480",10916.27325667934,11112.244675793252,9970.6698731211,12128.334160023729,9264.643819733516,11823.983415193441
"AT5G55490",15.111963139587523,24.86210924336781,33.15493866087955,16.67670351259604,34.37235705086067,13.945318821885744
"AT5G55500",5347.512482262602,4560.290296899171,4911.46081217589,5011.933161478267,4206.341257647277,4621.39781499044
"AT5G55505",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"AT5G55507",9.968120126393359,11.853517009057002,12.891909892516878,11.817476905216465,9.04008926449509,10.728878750429715
"AT5G55508",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"AT5G55510",663.6669067860569,671.2272845695434,598.6928905210578,854.0907487225805,654.7503758300759,831.004750294222
"AT5G55520",1561.4016147136927,1792.8861095363477,1218.123712664971,2927.26097045833,977.256552316669,2559.2466232884835
"AT5G55530",4216.441647761902,8284.540008765725,4501.637744787946,6729.182954493023,4187.08408567001,5423.097263112941
"AT5G55540",2604.665661854353,2909.831301160308,2785.3724864246396,3152.869644104807,2437.157600573628,2816.6213125674058
"AT5G55550",5215.906271189327,4580.288825527507,5200.03785288252,5272.4281449820155,4305.758612240379,5055.407059105377
"AT5G55560",586.6558948717538,848.2682192572199,694.8157579548292,718.601288111601,713.1138530554468,592.4660223428425
"AT5G55565",5.041276853853251,4.974160643602603,4.68414036725243,5.908738452608232,6.136409373961655,4.697275109911348
"AT5G55570",61.64464887161783,14.492957558363353,63.98966427543445,13.000993565633323,97.01372438430076,20.41804178506394
"AT5G55580",621.8603411833428,557.962344593139,578.5309249667139,522.8760483641516,620.3934944878929,523.8794955020044
"AT5G55590",960.045303928788,442.8740150051154,1390.5717019297535,854.1258397309339,965.1201512983002,657.4013445714659
"AT5G55600",6410.931748419455,6592.101732223431,6335.053165537642,5387.7589841402505,5455.795240510128,5264.942955599492
"AT5G55610",4755.629546119493,5450.764283289988,4852.8475037090675,6651.129768124813,4530.24155681668,7127.286166376848
"AT5G55620",469.92163487736605,267.1778764064302,339.42356155883624,27.578673387772042,884.364184173666,218.10224490935028
"AT5G55630",2421.1768695838946,2220.000765158837,2177.5660439753965,2197.414895360359,2375.093945032481,2528.00320789554
"AT5G55640",1286.640694220718,1171.0034263449827,1176.920638582509,1260.9341412265082,1057.521509276129,1269.553040207323
"AT5G55650",111.71573479421576,123.65716949195236,102.90485079478285,232.99005511428945,89.72109264104161,216.60773011079678
"AT5G55660",15187.6471283037,18222.03719739573,14444.619079943528,20565.37131480081,10222.826402852585,19861.79657859543
