Gene	Intercept	Parents	Coefficients	ResidualSD	RSquared
znuC	-0.000000			0.989949	0.0000
ilvA	-0.000000			0.989949	0.0000
ilvB	0.000000	argC	0.823124	0.573746	0.6775
ilvC	-0.000000	metF	0.836349	0.553878	0.6995
ilvD	0.000000	thrA	0.808074	0.595186	0.6530
ilvE	0.000000	cysD	0.835472	0.555228	0.6980
leuA	-0.000000	valS	0.842852	0.543722	0.7104
leuB	0.000000	valS;metB	0.436786;0.511024	0.463944	0.7935
leuC	0.000000	oppA	0.792598	0.616064	0.6282
leuD	-0.000000	valT;hisB	0.456697;0.487015	0.478426	0.7805
valS	0.000000	cysD	0.847922	0.535614	0.7190
valT	0.000000	comA	-0.850411	0.531571	0.7232
valU	0.000000	ilvB;asnB	0.549357;0.419635	0.446678	0.8086
thrA	-0.000000	comA	-0.848412	0.534822	0.7198
thrB	0.000000	leuD;cysI	0.483414;0.438726	0.526892	0.7337
thrC	0.000000	argB;argE;yoaE	0.571900;0.374307;0.275708	0.341462	0.8905
lysA	-0.000000	metF	0.875855	0.487575	0.7671
lysC	-0.000000	leuA	0.815148	0.585255	0.6645
dapA	0.000000	lysA	0.845547	0.539434	0.7149
dapB	-0.000000	comA	-0.826888	0.568195	0.6837
argA	-0.000000	comA	-0.861449	0.513107	0.7421
argB	-0.000000	metF	0.865952	0.505309	0.7499
argC	0.000000	leuD;argE	0.496458;0.449452	0.459528	0.7975
argD	-0.000000	metF	0.843883	0.542087	0.7121
argE	-0.000000	dapA	0.871363	0.495723	0.7593
argF	0.000000	abrB;cysD	-0.411451;0.538103	0.450793	0.8051
argG	-0.000000	valU	0.800577	0.605440	0.6409
argH	-0.000000	ilvE;argA	0.442934;0.509609	0.484988	0.7744
hisA	0.000000	cysE	0.792726	0.615895	0.6284
hisB	-0.000000	dapA	0.860943	0.513973	0.7412
hisC	0.000000	abrB;dapA	-0.442954;0.496581	0.469781	0.7883
hisD	0.000000	thrC;cysK	0.465252;0.474056	0.494511	0.7654
hisE	0.000000	comA	-0.875334	0.488529	0.7662
hisF	0.000000	thrA	0.845889	0.538886	0.7155
hisG	0.000000	leuB;asnA	0.486475;0.444872	0.508988	0.7515
trpA	-0.000000	dapA	0.880572	0.478823	0.7754
trpB	-0.000000	ilvC;dapA	0.394604;0.570222	0.461935	0.7953
trpC	0.000000	lysA;cysI	0.611377;0.367046	0.432153	0.8209
trpD	0.000000	comA;hisB	-0.525423;0.421791	0.466729	0.7911
trpE	-0.000000	cysD	0.839862	0.548426	0.7054
trpF	-0.000000	trpE	0.821700	0.575827	0.6752
pheA	-0.000000	trpC	0.812184	0.589446	0.6596
tyrA	-0.000000	trpA;metF	0.532035;0.415235	0.456978	0.7997
glnA	-0.000000	argB;rpsD	0.919754;-0.365077	0.480883	0.7782
gltA	-0.000000	argB	0.832441	0.559855	0.6930
gltB	0.000000			0.989949	0.0000
gltC	0.000000	leuD;trpE	0.437842;0.494486	0.492377	0.7675
asnA	0.000000	trpB	0.811550	0.590338	0.6586
asnB	-0.000000	cysD	0.847036	0.537044	0.7175
asnC	-0.000000	thrC;dapA	0.441910;0.496252	0.476115	0.7826
metA	-0.000000	lysC;tyrA	0.502992;0.457524	0.458277	0.7986
metB	-0.000000	dapA;gltA	0.544900;0.405450	0.455039	0.8014
metC	-0.000000	leuA	0.827889	0.566705	0.6854
metE	-0.000000	valS	0.821256	0.576473	0.6745
metF	0.000000	comA	-0.888325	0.463975	0.7891
metH	-0.000000	trpB	0.822229	0.575055	0.6761
cysA	-0.000000	dapA	0.833232	0.558654	0.6943
cysB	0.000000	argA;trpB	0.539144;0.422957	0.436141	0.8175
