pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2203	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	221	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	222	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	223	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	224	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	226	2203
Glycolysis / Gluconeogenesis - Homo sapiens (human)	226	5211
Glycolysis / Gluconeogenesis - Homo sapiens (human)	226	5213
Glycolysis / Gluconeogenesis - Homo sapiens (human)	226	5214
Glycolysis / Gluconeogenesis - Homo sapiens (human)	226	8789
Glycolysis / Gluconeogenesis - Homo sapiens (human)	229	2203
Glycolysis / Gluconeogenesis - Homo sapiens (human)	229	5211
Glycolysis / Gluconeogenesis - Homo sapiens (human)	229	5213
Glycolysis / Gluconeogenesis - Homo sapiens (human)	229	5214
Glycolysis / Gluconeogenesis - Homo sapiens (human)	229	8789
Glycolysis / Gluconeogenesis - Homo sapiens (human)	230	2203
Glycolysis / Gluconeogenesis - Homo sapiens (human)	230	5211
Glycolysis / Gluconeogenesis - Homo sapiens (human)	230	5213
Glycolysis / Gluconeogenesis - Homo sapiens (human)	230	5214
Glycolysis / Gluconeogenesis - Homo sapiens (human)	230	8789
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	226
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	229
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	7167
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2597	729708
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2645	130589
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2645	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	2538
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	2645
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	3098
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	3099
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	3101
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	5236
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	5238
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2821	57818
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3098	130589
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3098	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3099	130589
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3099	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3101	130589
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3101	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3939	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3939	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3945	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3945	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3948	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	3948	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	441531	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	441531	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	501	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5105	2023
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5105	2026
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5105	2027
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5105	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5105	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5106	2023
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5106	2026
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5106	2027
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5106	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5106	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	160287
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	1737
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	1738
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	3939
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	3945
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	3948
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5160	92483
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	160287
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	1737
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	1738
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	3939
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	3945
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	3948
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5161	92483
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	160287
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	1737
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	1738
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	3939
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	3945
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	3948
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5162	92483
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5211	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5213	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5214	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5223	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5223	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5224	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5224	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5230	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5232	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	2538
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	2645
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	3098
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	3099
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	3101
