pathway	gene1	gene2
Linoleic acid metabolism - Homo sapiens (human)	1576	26279
Linoleic acid metabolism - Homo sapiens (human)	1576	30814
Linoleic acid metabolism - Homo sapiens (human)	1576	50487
Linoleic acid metabolism - Homo sapiens (human)	1576	5319
Linoleic acid metabolism - Homo sapiens (human)	1576	5320
Linoleic acid metabolism - Homo sapiens (human)	1576	5321
Linoleic acid metabolism - Homo sapiens (human)	1576	5322
Linoleic acid metabolism - Homo sapiens (human)	1576	64600
Linoleic acid metabolism - Homo sapiens (human)	1576	81579
Linoleic acid metabolism - Homo sapiens (human)	1576	8398
Linoleic acid metabolism - Homo sapiens (human)	1576	8399
Linoleic acid metabolism - Homo sapiens (human)	1576	84647
Linoleic acid metabolism - Homo sapiens (human)	1576	8681
Linoleic acid metabolism - Homo sapiens (human)	1577	100137049
Linoleic acid metabolism - Homo sapiens (human)	1577	240
Linoleic acid metabolism - Homo sapiens (human)	1577	246
Linoleic acid metabolism - Homo sapiens (human)	1577	26279
Linoleic acid metabolism - Homo sapiens (human)	1577	30814
Linoleic acid metabolism - Homo sapiens (human)	1577	50487
Linoleic acid metabolism - Homo sapiens (human)	1577	5319
Linoleic acid metabolism - Homo sapiens (human)	1577	5320
Linoleic acid metabolism - Homo sapiens (human)	1577	5321
Linoleic acid metabolism - Homo sapiens (human)	1577	5322
Linoleic acid metabolism - Homo sapiens (human)	1577	64600
Linoleic acid metabolism - Homo sapiens (human)	1577	81579
Linoleic acid metabolism - Homo sapiens (human)	1577	8398
Linoleic acid metabolism - Homo sapiens (human)	1577	8399
Linoleic acid metabolism - Homo sapiens (human)	1577	84647
Linoleic acid metabolism - Homo sapiens (human)	1577	8681
Linoleic acid metabolism - Homo sapiens (human)	246	100137049
Linoleic acid metabolism - Homo sapiens (human)	246	240
Linoleic acid metabolism - Homo sapiens (human)	246	26279
Linoleic acid metabolism - Homo sapiens (human)	246	30814
Linoleic acid metabolism - Homo sapiens (human)	246	50487
Linoleic acid metabolism - Homo sapiens (human)	246	5319
Linoleic acid metabolism - Homo sapiens (human)	246	5320
Linoleic acid metabolism - Homo sapiens (human)	246	5321
Linoleic acid metabolism - Homo sapiens (human)	246	5322
Linoleic acid metabolism - Homo sapiens (human)	246	64600
Linoleic acid metabolism - Homo sapiens (human)	246	81579
Linoleic acid metabolism - Homo sapiens (human)	246	8398
Linoleic acid metabolism - Homo sapiens (human)	246	8399
Linoleic acid metabolism - Homo sapiens (human)	246	84647
Linoleic acid metabolism - Homo sapiens (human)	246	8681
Linoleic acid metabolism - Homo sapiens (human)	26279	240
Linoleic acid metabolism - Homo sapiens (human)	30814	240
Linoleic acid metabolism - Homo sapiens (human)	50487	240
Linoleic acid metabolism - Homo sapiens (human)	5319	240
Linoleic acid metabolism - Homo sapiens (human)	5320	240
Linoleic acid metabolism - Homo sapiens (human)	5321	240
Linoleic acid metabolism - Homo sapiens (human)	5322	240
Linoleic acid metabolism - Homo sapiens (human)	64600	240
Linoleic acid metabolism - Homo sapiens (human)	64816	100137049
Linoleic acid metabolism - Homo sapiens (human)	64816	240
Linoleic acid metabolism - Homo sapiens (human)	64816	246
Linoleic acid metabolism - Homo sapiens (human)	64816	26279
Linoleic acid metabolism - Homo sapiens (human)	64816	30814
Linoleic acid metabolism - Homo sapiens (human)	64816	50487
Linoleic acid metabolism - Homo sapiens (human)	64816	5319
Linoleic acid metabolism - Homo sapiens (human)	64816	5320
Linoleic acid metabolism - Homo sapiens (human)	64816	5321
Linoleic acid metabolism - Homo sapiens (human)	64816	5322
Linoleic acid metabolism - Homo sapiens (human)	64816	64600
Linoleic acid metabolism - Homo sapiens (human)	64816	81579
Linoleic acid metabolism - Homo sapiens (human)	64816	8398
Linoleic acid metabolism - Homo sapiens (human)	64816	8399
Linoleic acid metabolism - Homo sapiens (human)	64816	84647
Linoleic acid metabolism - Homo sapiens (human)	64816	8681
Linoleic acid metabolism - Homo sapiens (human)	81579	240
Linoleic acid metabolism - Homo sapiens (human)	8398	240
Linoleic acid metabolism - Homo sapiens (human)	8399	240
Linoleic acid metabolism - Homo sapiens (human)	84647	240
Linoleic acid metabolism - Homo sapiens (human)	8681	240
alpha-Linolenic acid metabolism - Homo sapiens (human)	100137049	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	26279	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	30814	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	50487	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	5319	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	5320	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	5321	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	5322	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	64600	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	81579	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	8398	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	8399	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	84647	9415
alpha-Linolenic acid metabolism - Homo sapiens (human)	8681	9415
Sphingolipid metabolism - Homo sapiens (human)	10558	2531
Sphingolipid metabolism - Homo sapiens (human)	10825	2581
Sphingolipid metabolism - Homo sapiens (human)	10825	410
Sphingolipid metabolism - Homo sapiens (human)	10825	414
Sphingolipid metabolism - Homo sapiens (human)	10825	415
Sphingolipid metabolism - Homo sapiens (human)	10825	7368
Sphingolipid metabolism - Homo sapiens (human)	123099	2581
Sphingolipid metabolism - Homo sapiens (human)	123099	2629
Sphingolipid metabolism - Homo sapiens (human)	123099	339221
Sphingolipid metabolism - Homo sapiens (human)	123099	340485
Sphingolipid metabolism - Homo sapiens (human)	123099	427
Sphingolipid metabolism - Homo sapiens (human)	123099	55331
Sphingolipid metabolism - Homo sapiens (human)	123099	55512
Sphingolipid metabolism - Homo sapiens (human)	123099	55627
Sphingolipid metabolism - Homo sapiens (human)	123099	64781
Sphingolipid metabolism - Homo sapiens (human)	123099	6609
Sphingolipid metabolism - Homo sapiens (human)	123099	6610
Sphingolipid metabolism - Homo sapiens (human)	123099	7357
Sphingolipid metabolism - Homo sapiens (human)	123099	7368
Sphingolipid metabolism - Homo sapiens (human)	123099	8611
Sphingolipid metabolism - Homo sapiens (human)	123099	8612
Sphingolipid metabolism - Homo sapiens (human)	123099	8613
Sphingolipid metabolism - Homo sapiens (human)	129807	2581
Sphingolipid metabolism - Homo sapiens (human)	129807	410
Sphingolipid metabolism - Homo sapiens (human)	129807	414
Sphingolipid metabolism - Homo sapiens (human)	129807	415
Sphingolipid metabolism - Homo sapiens (human)	129807	7368
Sphingolipid metabolism - Homo sapiens (human)	130367	123099
Sphingolipid metabolism - Homo sapiens (human)	130367	2531
Sphingolipid metabolism - Homo sapiens (human)	130367	2581
Sphingolipid metabolism - Homo sapiens (human)	130367	2629
Sphingolipid metabolism - Homo sapiens (human)	130367	339221
Sphingolipid metabolism - Homo sapiens (human)	130367	340485
Sphingolipid metabolism - Homo sapiens (human)	130367	427
Sphingolipid metabolism - Homo sapiens (human)	130367	55331
Sphingolipid metabolism - Homo sapiens (human)	130367	55512
Sphingolipid metabolism - Homo sapiens (human)	130367	55627
Sphingolipid metabolism - Homo sapiens (human)	130367	56848
Sphingolipid metabolism - Homo sapiens (human)	130367	6609
Sphingolipid metabolism - Homo sapiens (human)	130367	6610
Sphingolipid metabolism - Homo sapiens (human)	130367	7357
Sphingolipid metabolism - Homo sapiens (human)	130367	7368
Sphingolipid metabolism - Homo sapiens (human)	130367	8560
Sphingolipid metabolism - Homo sapiens (human)	130367	8611
Sphingolipid metabolism - Homo sapiens (human)	130367	8612
Sphingolipid metabolism - Homo sapiens (human)	130367	8613
Sphingolipid metabolism - Homo sapiens (human)	130367	8877
Sphingolipid metabolism - Homo sapiens (human)	166929	123099
Sphingolipid metabolism - Homo sapiens (human)	166929	130367
Sphingolipid metabolism - Homo sapiens (human)	166929	2581
Sphingolipid metabolism - Homo sapiens (human)	166929	2629
Sphingolipid metabolism - Homo sapiens (human)	166929	340485
Sphingolipid metabolism - Homo sapiens (human)	166929	427
Sphingolipid metabolism - Homo sapiens (human)	166929	64781
Sphingolipid metabolism - Homo sapiens (human)	166929	7357
Sphingolipid metabolism - Homo sapiens (human)	166929	7368
Sphingolipid metabolism - Homo sapiens (human)	166929	81537
Sphingolipid metabolism - Homo sapiens (human)	166929	8560
Sphingolipid metabolism - Homo sapiens (human)	166929	8611
Sphingolipid metabolism - Homo sapiens (human)	166929	8612
Sphingolipid metabolism - Homo sapiens (human)	166929	8613
Sphingolipid metabolism - Homo sapiens (human)	2531	55331
Sphingolipid metabolism - Homo sapiens (human)	2531	56848
Sphingolipid metabolism - Homo sapiens (human)	2531	8877
Sphingolipid metabolism - Homo sapiens (human)	2581	410
Sphingolipid metabolism - Homo sapiens (human)	2581	414
Sphingolipid metabolism - Homo sapiens (human)	2581	415
Sphingolipid metabolism - Homo sapiens (human)	259230	123099
Sphingolipid metabolism - Homo sapiens (human)	259230	130367
Sphingolipid metabolism - Homo sapiens (human)	259230	2581
Sphingolipid metabolism - Homo sapiens (human)	259230	2629
Sphingolipid metabolism - Homo sapiens (human)	259230	340485
Sphingolipid metabolism - Homo sapiens (human)	259230	427
Sphingolipid metabolism - Homo sapiens (human)	259230	64781
Sphingolipid metabolism - Homo sapiens (human)	259230	7357
Sphingolipid metabolism - Homo sapiens (human)	259230	7368
Sphingolipid metabolism - Homo sapiens (human)	259230	81537
Sphingolipid metabolism - Homo sapiens (human)	259230	8560
Sphingolipid metabolism - Homo sapiens (human)	259230	8611
Sphingolipid metabolism - Homo sapiens (human)	259230	8612
Sphingolipid metabolism - Homo sapiens (human)	259230	8613
Sphingolipid metabolism - Homo sapiens (human)	2629	2581
Sphingolipid metabolism - Homo sapiens (human)	2629	340485
Sphingolipid metabolism - Homo sapiens (human)	2629	427
Sphingolipid metabolism - Homo sapiens (human)	2629	9331
Sphingolipid metabolism - Homo sapiens (human)	2717	10825
Sphingolipid metabolism - Homo sapiens (human)	2717	129807
Sphingolipid metabolism - Homo sapiens (human)	2717	2581
Sphingolipid metabolism - Homo sapiens (human)	2717	410
Sphingolipid metabolism - Homo sapiens (human)	2717	414
Sphingolipid metabolism - Homo sapiens (human)	2717	415
Sphingolipid metabolism - Homo sapiens (human)	2717	4758
Sphingolipid metabolism - Homo sapiens (human)	2717	4759
Sphingolipid metabolism - Homo sapiens (human)	2717	7368
Sphingolipid metabolism - Homo sapiens (human)	2717	9514
Sphingolipid metabolism - Homo sapiens (human)	2720	2629
Sphingolipid metabolism - Homo sapiens (human)	2720	7357
Sphingolipid metabolism - Homo sapiens (human)	339221	2581
Sphingolipid metabolism - Homo sapiens (human)	339221	2629
Sphingolipid metabolism - Homo sapiens (human)	339221	340485
Sphingolipid metabolism - Homo sapiens (human)	339221	427
Sphingolipid metabolism - Homo sapiens (human)	339221	64781
Sphingolipid metabolism - Homo sapiens (human)	339221	7357
Sphingolipid metabolism - Homo sapiens (human)	339221	7368
Sphingolipid metabolism - Homo sapiens (human)	339221	8611
Sphingolipid metabolism - Homo sapiens (human)	339221	8612
Sphingolipid metabolism - Homo sapiens (human)	339221	8613
Sphingolipid metabolism - Homo sapiens (human)	340485	123099
Sphingolipid metabolism - Homo sapiens (human)	340485	2531
Sphingolipid metabolism - Homo sapiens (human)	340485	2581
Sphingolipid metabolism - Homo sapiens (human)	340485	56848
Sphingolipid metabolism - Homo sapiens (human)	340485	8560
Sphingolipid metabolism - Homo sapiens (human)	340485	8611
Sphingolipid metabolism - Homo sapiens (human)	340485	8612
Sphingolipid metabolism - Homo sapiens (human)	340485	8613
Sphingolipid metabolism - Homo sapiens (human)	340485	8877
Sphingolipid metabolism - Homo sapiens (human)	3938	2629
Sphingolipid metabolism - Homo sapiens (human)	3938	7357
Sphingolipid metabolism - Homo sapiens (human)	427	123099
Sphingolipid metabolism - Homo sapiens (human)	427	2531
Sphingolipid metabolism - Homo sapiens (human)	427	2581
Sphingolipid metabolism - Homo sapiens (human)	427	56848
Sphingolipid metabolism - Homo sapiens (human)	427	8560
Sphingolipid metabolism - Homo sapiens (human)	427	8611
Sphingolipid metabolism - Homo sapiens (human)	427	8612
Sphingolipid metabolism - Homo sapiens (human)	427	8613
Sphingolipid metabolism - Homo sapiens (human)	427	8877
Sphingolipid metabolism - Homo sapiens (human)	4758	2581
Sphingolipid metabolism - Homo sapiens (human)	4758	410
Sphingolipid metabolism - Homo sapiens (human)	4758	414
Sphingolipid metabolism - Homo sapiens (human)	4758	415
Sphingolipid metabolism - Homo sapiens (human)	4758	7368
Sphingolipid metabolism - Homo sapiens (human)	4759	2581
Sphingolipid metabolism - Homo sapiens (human)	4759	410
Sphingolipid metabolism - Homo sapiens (human)	4759	414
Sphingolipid metabolism - Homo sapiens (human)	4759	415
Sphingolipid metabolism - Homo sapiens (human)	4759	7368
Sphingolipid metabolism - Homo sapiens (human)	55512	2581
Sphingolipid metabolism - Homo sapiens (human)	55512	2629
Sphingolipid metabolism - Homo sapiens (human)	55512	340485
Sphingolipid metabolism - Homo sapiens (human)	55512	427
Sphingolipid metabolism - Homo sapiens (human)	55512	64781
Sphingolipid metabolism - Homo sapiens (human)	55512	7357
Sphingolipid metabolism - Homo sapiens (human)	55512	7368
Sphingolipid metabolism - Homo sapiens (human)	55512	8611
Sphingolipid metabolism - Homo sapiens (human)	55512	8612
Sphingolipid metabolism - Homo sapiens (human)	55512	8613
Sphingolipid metabolism - Homo sapiens (human)	55627	2581
Sphingolipid metabolism - Homo sapiens (human)	55627	2629
Sphingolipid metabolism - Homo sapiens (human)	55627	340485
Sphingolipid metabolism - Homo sapiens (human)	55627	427
Sphingolipid metabolism - Homo sapiens (human)	55627	64781
Sphingolipid metabolism - Homo sapiens (human)	55627	7357
Sphingolipid metabolism - Homo sapiens (human)	55627	7368
Sphingolipid metabolism - Homo sapiens (human)	55627	8611
Sphingolipid metabolism - Homo sapiens (human)	55627	8612
Sphingolipid metabolism - Homo sapiens (human)	55627	8613
Sphingolipid metabolism - Homo sapiens (human)	56848	55331
Sphingolipid metabolism - Homo sapiens (human)	64781	2581
Sphingolipid metabolism - Homo sapiens (human)	64781	2629
Sphingolipid metabolism - Homo sapiens (human)	64781	340485
Sphingolipid metabolism - Homo sapiens (human)	64781	427
Sphingolipid metabolism - Homo sapiens (human)	64781	7357
Sphingolipid metabolism - Homo sapiens (human)	64781	7368
Sphingolipid metabolism - Homo sapiens (human)	6609	2581
Sphingolipid metabolism - Homo sapiens (human)	6609	2629
Sphingolipid metabolism - Homo sapiens (human)	6609	340485
Sphingolipid metabolism - Homo sapiens (human)	6609	427
Sphingolipid metabolism - Homo sapiens (human)	6609	64781
Sphingolipid metabolism - Homo sapiens (human)	6609	7357
Sphingolipid metabolism - Homo sapiens (human)	6609	7368
Sphingolipid metabolism - Homo sapiens (human)	6609	8611
Sphingolipid metabolism - Homo sapiens (human)	6609	8612
Sphingolipid metabolism - Homo sapiens (human)	6609	8613
Sphingolipid metabolism - Homo sapiens (human)	6610	2581
Sphingolipid metabolism - Homo sapiens (human)	6610	2629
Sphingolipid metabolism - Homo sapiens (human)	6610	340485
Sphingolipid metabolism - Homo sapiens (human)	6610	427
Sphingolipid metabolism - Homo sapiens (human)	6610	64781
Sphingolipid metabolism - Homo sapiens (human)	6610	7357
Sphingolipid metabolism - Homo sapiens (human)	6610	7368
Sphingolipid metabolism - Homo sapiens (human)	6610	8611
Sphingolipid metabolism - Homo sapiens (human)	6610	8612
Sphingolipid metabolism - Homo sapiens (human)	6610	8613
Sphingolipid metabolism - Homo sapiens (human)	7357	2581
Sphingolipid metabolism - Homo sapiens (human)	7357	340485
Sphingolipid metabolism - Homo sapiens (human)	7357	427
Sphingolipid metabolism - Homo sapiens (human)	7357	9331
Sphingolipid metabolism - Homo sapiens (human)	7368	2629
Sphingolipid metabolism - Homo sapiens (human)	7368	340485
Sphingolipid metabolism - Homo sapiens (human)	7368	410
Sphingolipid metabolism - Homo sapiens (human)	7368	414
Sphingolipid metabolism - Homo sapiens (human)	7368	415
Sphingolipid metabolism - Homo sapiens (human)	7368	427
Sphingolipid metabolism - Homo sapiens (human)	7368	7357
Sphingolipid metabolism - Homo sapiens (human)	81537	123099
Sphingolipid metabolism - Homo sapiens (human)	81537	2531
Sphingolipid metabolism - Homo sapiens (human)	81537	2581
Sphingolipid metabolism - Homo sapiens (human)	81537	2629
Sphingolipid metabolism - Homo sapiens (human)	81537	339221
Sphingolipid metabolism - Homo sapiens (human)	81537	340485
Sphingolipid metabolism - Homo sapiens (human)	81537	427
Sphingolipid metabolism - Homo sapiens (human)	81537	55331
Sphingolipid metabolism - Homo sapiens (human)	81537	55512
Sphingolipid metabolism - Homo sapiens (human)	81537	55627
Sphingolipid metabolism - Homo sapiens (human)	81537	56848
Sphingolipid metabolism - Homo sapiens (human)	81537	6609
Sphingolipid metabolism - Homo sapiens (human)	81537	6610
Sphingolipid metabolism - Homo sapiens (human)	81537	7357
Sphingolipid metabolism - Homo sapiens (human)	81537	7368
Sphingolipid metabolism - Homo sapiens (human)	81537	8560
Sphingolipid metabolism - Homo sapiens (human)	81537	8611
Sphingolipid metabolism - Homo sapiens (human)	81537	8612
Sphingolipid metabolism - Homo sapiens (human)	81537	8613
Sphingolipid metabolism - Homo sapiens (human)	81537	8877
Sphingolipid metabolism - Homo sapiens (human)	8560	2581
Sphingolipid metabolism - Homo sapiens (human)	8560	2629
Sphingolipid metabolism - Homo sapiens (human)	8560	339221
Sphingolipid metabolism - Homo sapiens (human)	8560	340485
Sphingolipid metabolism - Homo sapiens (human)	8560	427
Sphingolipid metabolism - Homo sapiens (human)	8560	55331
Sphingolipid metabolism - Homo sapiens (human)	8560	55512
Sphingolipid metabolism - Homo sapiens (human)	8560	55627
Sphingolipid metabolism - Homo sapiens (human)	8560	64781
Sphingolipid metabolism - Homo sapiens (human)	8560	6609
Sphingolipid metabolism - Homo sapiens (human)	8560	6610
Sphingolipid metabolism - Homo sapiens (human)	8560	7357
Sphingolipid metabolism - Homo sapiens (human)	8560	7368
Sphingolipid metabolism - Homo sapiens (human)	8560	8611
Sphingolipid metabolism - Homo sapiens (human)	8560	8612
Sphingolipid metabolism - Homo sapiens (human)	8560	8613
Sphingolipid metabolism - Homo sapiens (human)	8611	2531
Sphingolipid metabolism - Homo sapiens (human)	8611	2581
Sphingolipid metabolism - Homo sapiens (human)	8611	2629
Sphingolipid metabolism - Homo sapiens (human)	8611	340485
Sphingolipid metabolism - Homo sapiens (human)	8611	427
Sphingolipid metabolism - Homo sapiens (human)	8611	55331
Sphingolipid metabolism - Homo sapiens (human)	8611	56848
Sphingolipid metabolism - Homo sapiens (human)	8611	7357
Sphingolipid metabolism - Homo sapiens (human)	8611	7368
Sphingolipid metabolism - Homo sapiens (human)	8611	8877
Sphingolipid metabolism - Homo sapiens (human)	8612	2531
Sphingolipid metabolism - Homo sapiens (human)	8612	2581
Sphingolipid metabolism - Homo sapiens (human)	8612	2629
Sphingolipid metabolism - Homo sapiens (human)	8612	340485
Sphingolipid metabolism - Homo sapiens (human)	8612	427
Sphingolipid metabolism - Homo sapiens (human)	8612	55331
Sphingolipid metabolism - Homo sapiens (human)	8612	56848
Sphingolipid metabolism - Homo sapiens (human)	8612	7357
Sphingolipid metabolism - Homo sapiens (human)	8612	7368
Sphingolipid metabolism - Homo sapiens (human)	8612	8877
Sphingolipid metabolism - Homo sapiens (human)	8613	2531
Sphingolipid metabolism - Homo sapiens (human)	8613	2581
Sphingolipid metabolism - Homo sapiens (human)	8613	2629
Sphingolipid metabolism - Homo sapiens (human)	8613	340485
Sphingolipid metabolism - Homo sapiens (human)	8613	427
Sphingolipid metabolism - Homo sapiens (human)	8613	55331
Sphingolipid metabolism - Homo sapiens (human)	8613	56848
Sphingolipid metabolism - Homo sapiens (human)	8613	7357
Sphingolipid metabolism - Homo sapiens (human)	8613	7368
Sphingolipid metabolism - Homo sapiens (human)	8613	8877
Sphingolipid metabolism - Homo sapiens (human)	8877	55331
Sphingolipid metabolism - Homo sapiens (human)	9514	10825
Sphingolipid metabolism - Homo sapiens (human)	9514	129807
Sphingolipid metabolism - Homo sapiens (human)	9514	2581
Sphingolipid metabolism - Homo sapiens (human)	9514	2717
Sphingolipid metabolism - Homo sapiens (human)	9514	4758
Sphingolipid metabolism - Homo sapiens (human)	9514	4759
Sphingolipid metabolism - Homo sapiens (human)	9514	7368
Sphingolipid metabolism - Homo sapiens (human)	9517	2531
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	6484
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	6487
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	10317	84002
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2523	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2524	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2525	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2525	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2525	28
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	2525	6484
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	28	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	28	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	28	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	28	28
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6484	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6484	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6484	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6487	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6487	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	6487	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	6484
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	6487
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8707	84002
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	2523
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	2524
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	2525
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	6484
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	6487
Glycosphingolipid biosynthesis - lactoseries - Homo sapiens (human)	8708	84002
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	10402
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	10678
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	10690
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	11041
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2524
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2525
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2526
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2527
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2528
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2651
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	8702
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10331	8703
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	10678
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	10690
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	11041
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	2524
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	2651
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10402	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10678	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10678	2524
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10678	2651
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10678	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	10402
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	10678
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	11041
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2524
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2525
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2526
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2527
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2528
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2651
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	28
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	8702
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	10690	8703
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	11041	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	11041	2524
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	11041	2651
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	11041	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2523	10690
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2523	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2523	28
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2524	10690
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2524	2683
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2524	28
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	10402
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	10678
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	10690
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	11041
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	2523
Glycosphingolipid biosynthesis - neo-lactoseries - Homo sapiens (human)	2525	2524
