ID,NodeType,weight,x,y,degree,degree.in,degree.out,degreeCentrality,OutDegreeCentrality,label
"1,1",0,1,0,0,32,28,4,8.988612551473852E-05,2.247153137868463E-05,0
"1,101",1,1,0,0,148,31,117,0.00041572333050566565,0.0006572922928265254,50
"1,103",4,1,0,0,38,31,7,0.00010673977404875198,3.93251799126981E-05,51
"1,105",1,1,0,0,46,30,16,0.0001292113054274366,8.988612551473852E-05,52
"1,107",1,1,0,0,45,31,14,0.00012640236400510103,7.86503598253962E-05,53
"1,109",1,1,0,0,79,31,48,0.0002219063723645107,0.00026965837654421555,54
"1,11",1,1,0,0,35,30,5,9.831294978174525E-05,2.8089414223355786E-05,5
"1,111",1,1,0,0,83,31,52,0.00023314213805385303,0.0002921299079229002,55
"1,113",1,1,0,0,55,31,24,0.0001544917782284568,0.00013482918827210778,56
"1,115",5,1,0,0,41,31,10,0.00011516659831575873,5.617882844671157E-05,57
"1,117",1,1,0,0,45,31,14,0.00012640236400510103,7.86503598253962E-05,58
"1,119",1,1,0,0,42,19,23,0.0001179755397380943,0.0001292113054274366,59
"1,121",1,1,0,0,52,27,25,0.0001460649539614501,0.00014044707111677892,60
"1,123",1,1,0,0,109,31,78,0.00030617461503457805,0.0004381948618843503,61
"1,125",2,1,0,0,29,26,3,8.145930124773178E-05,1.6853648534013472E-05,62
"1,127",5,1,0,0,59,31,28,0.00016572754391779913,0.0001573007196507924,63
"1,129",4,1,0,0,82,31,51,0.00023033319663151746,0.00028651202507822904,64
"1,13",1,1,0,0,34,31,3,9.550400835940967E-05,1.6853648534013472E-05,6
"1,131",4,1,0,0,67,31,36,0.00018819907529648376,0.00020224378240816165,65
"1,133",4,1,0,0,58,31,27,0.00016291860249546355,0.00015168283680612124,66
"1,15",1,1,0,0,35,31,4,9.831294978174525E-05,2.247153137868463E-05,7
"1,17",1,1,0,0,31,24,7,8.707718409240294E-05,3.93251799126981E-05,8
"1,19",1,1,0,0,48,27,21,0.00013482918827210778,0.0001179755397380943,9
"1,21",1,1,0,0,61,31,30,0.0001713454267624703,0.00016853648534013473,10
"1,23",1,1,0,0,82,31,51,0.00023033319663151746,0.00028651202507822904,11
"1,25",1,1,0,0,130,31,99,0.00036516238490362523,0.0005561704016224445,12
"1,27",5,1,0,0,68,31,37,0.00019100801671881933,0.00020786166525283282,13
"1,29",4,1,0,0,34,30,4,9.550400835940967E-05,2.247153137868463E-05,14
"1,3",1,1,0,0,56,31,25,0.0001573007196507924,0.00014044707111677892,1
"1,31",4,1,0,0,141,31,110,0.0003960607405493166,0.0006179671129138272,15
"1,33",2,1,0,0,28,28,,7.86503598253962E-05,,16
"1,35",1,1,0,0,39,31,8,0.00010954871547108757,4.494306275736926E-05,17
"1,37",1,1,0,0,37,31,6,0.00010393083262641641,3.3707297068026944E-05,18
"1,39",4,1,0,0,63,31,32,0.00017696330960714144,0.00017977225102947704,19
"1,41",1,1,0,0,65,31,34,0.00018258119245181262,0.00019100801671881933,20
"1,43",1,1,0,0,37,31,6,0.00010393083262641641,3.3707297068026944E-05,21
"1,45",1,1,0,0,91,31,60,0.00025561366943253764,0.00033707297068026945,22
"1,47",5,1,0,0,52,31,21,0.0001460649539614501,0.0001179755397380943,23
"1,49",4,1,0,0,97,31,66,0.0002724673179665511,0.0003707802677482964,24
"1,5",1,1,0,0,36,31,5,0.00010112189120408083,2.8089414223355786E-05,2
"1,51",1,1,0,0,98,31,67,0.0002752762593888867,0.0003763981505929675,25
"1,53",1,1,0,0,34,31,3,9.550400835940967E-05,1.6853648534013472E-05,26
"1,55",1,1,0,0,62,31,31,0.00017415436818480587,0.00017415436818480587,27
"1,57",4,1,0,0,71,31,40,0.00019943484098582608,0.00022471531378684628,28
"1,59",4,1,0,0,52,31,21,0.0001460649539614501,0.0001179755397380943,29
"1,61",4,1,0,0,32,31,1,8.988612551473852E-05,5.617882844671158E-06,30
"1,63",4,1,0,0,80,31,49,0.00022471531378684628,0.0002752762593888867,31
"1,65",1,1,0,0,33,29,4,9.26950669370741E-05,2.247153137868463E-05,32
"1,67",4,1,0,0,159,31,128,0.000446621686151357,0.0007190890041179082,33
"1,69",4,1,0,0,135,31,104,0.0003792070920153031,0.0005842598158458004,34
"1,7",4,1,0,0,59,31,28,0.00016572754391779913,0.0001573007196507924,3
"1,71",4,1,0,0,50,31,19,0.00014044707111677892,0.00010673977404875198,35
"1,73",4,1,0,0,46,31,15,0.0001292113054274366,8.426824267006736E-05,36
"1,75",4,1,0,0,41,31,10,0.00011516659831575873,5.617882844671157E-05,37
"1,77",1,1,0,0,94,31,63,0.0002640404936995444,0.0003539266192142829,38
"1,79",1,1,0,0,30,24,6,8.426824267006736E-05,3.3707297068026944E-05,39
"1,81",1,1,0,0,31,30,1,8.707718409240294E-05,5.617882844671158E-06,40
"1,83",1,1,0,0,147,29,118,0.0004129143890833301,0.0006629101756711965,41
"1,85",1,1,0,0,168,31,137,0.0004719021589523772,0.0007696499497199486,42
"1,87",1,1,0,0,34,28,6,9.550400835940967E-05,3.3707297068026944E-05,43
"1,89",1,1,0,0,73,31,42,0.00020505272383049725,0.0002359510794761886,44
"1,9",1,1,0,0,88,31,57,0.0002471868451655309,0.00032021932214625597,4
"1,91",1,1,0,0,185,30,155,0.0005196541631320821,0.0008707718409240294,45
"1,93",1,1,0,0,65,31,34,0.00018258119245181262,0.00019100801671881933,46
"1,95",1,1,0,0,63,31,32,0.00017696330960714144,0.00017977225102947704,47
"1,97",1,1,0,0,157,31,126,0.00044100380330668585,0.0007078532384285658,48
