class	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
22875	0.0	0.0	0.0	0.0	0.0	0.0	4453.4	0.0	0.0	0.0	0.0	0.0
22876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22877	7552.9	12378.0	6130.9	10222.1	10318.0	4680.2	6629.3	16452.3	11529.9	12327.8	14601.0	17204.2
22870	13869.4	18282.0	7420.8	10291.3	18359.7	18898.3	11309.6	14109.8	19129.6	15771.8	0.0	15639.5
22871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1071.3
22872	0.0	3626.2	3023.9	3607.1	0.0	5012.5	4570.5	0.0	0.0	3819.9	0.0	0.0
22873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22878	7250.9	9286.0	10282.0	9914.8	9710.6	0.0	7679.8	12070.9	0.0	8529.4	6606.3	11184.0
138046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1785.8	0.0	0.0
3512	4217.1	0.0	0.0	0.0	55087.9	0.0	11655.3	2571.7	0.0	779.1	0.0	688.9
3516	2393.7	3215.0	5410.9	5846.5	5417.9	0.0	2307.5	3749.1	0.0	2406.6	0.0	4580.2
3514	52614.1	11343.8	24099.0	0.0	0.0	21315.0	123419.1	35639.2	9873.0	9130.3	0.0	13465.4
2688	0.0	0.0	0.0	0.0	0.0	0.0	5010.5	0.0	10164.9	0.0	0.0	2256.8
2689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	0.0
727837	0.0	0.0	0.0	2050.3	0.0	0.0	0.0	0.0	5087.5	0.0	0.0	0.0
2687	0.0	0.0	0.0	0.0	0.0	0.0	6859.7	0.0	0.0	0.0	0.0	9885.3
2683	7195.6	11593.2	13553.2	18039.4	11824.3	12168.5	11570.1	17944.3	13962.3	18279.1	15712.2	8791.4
98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0	17329.4	0.0	0.0	0.0	0.0	11358.3	0.0
90	0.0	0.0	1955.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	0.0	0.0	2591.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	1875.3	3341.9	1505.8	1050.9	0.0	13423.9	3600.2	3892.8	0.0	7824.0	0.0	3128.3
280657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1685.9	0.0	0.0	0.0	2016.7
23300	0.0	0.0	0.0	0.0	0.0	0.0	1311.8	0.0	0.0	0.0	0.0	1713.1
29760	30316.3	22089.0	17318.0	16011.8	12652.2	18963.8	33887.2	14863.0	35175.5	14491.4	10514.3	32640.6
1176	3707.9	5600.0	9235.4	3753.8	8443.4	5445.1	5991.8	4047.0	0.0	6065.7	4229.7	7193.2
1175	5235.1	9434.6	9003.9	6314.1	8131.4	8359.4	11706.3	9751.5	7727.3	10366.8	0.0	7959.3
157922	0.0	2285.5	4124.1	1737.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3497.6
23509	0.0	2626.3	0.0	0.0	0.0	2404.7	0.0	0.0	0.0	0.0	0.0	0.0
23508	0.0	0.0	0.0	0.0	0.0	4023.7	0.0	0.0	0.0	0.0	0.0	0.0
